"Maker and Month Wise Data for Goa (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","78","53","82","81","69","55","50","51","28","547"
"SML MAHINDRA LTD","17","9","13","12","14","12","10","12","1","100"
"SOKUDO ELECTRIC INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","0","0","6","4","5","5","5","6","0","31"
"STELLANTIS INDIA PVT LTD","2","0","3","0","3","1","2","1","0","12"
"SUZUKI MOTORCYCLE INDIA PVT LTD","268","252","313","247","221","203","186","201","47","1938"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","1","2","0","0","0","3"
"TAFE LIMITED","0","0","2","0","1","1","3","2","0","9"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","1","0","1","0","0","0","0","2"
"TATA MOTORS LTD","141","99","92","94","84","98","123","97","19","847"
"TATA MOTORS PASSENGER VEHICLES LTD","112","131","216","163","112","126","138","138","17","1153"
"TATA PASSENGER ELECTRIC MOBILITY LTD","81","64","88","113","119","128","131","106","15","845"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","0","0","0","0","0","0","1","1","0","2"
"TIVOLT ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","1","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","151","116","123","111","116","149","132","124","34","1056"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","1","2","2","3","1","2","1","12"
"TVS MOTOR COMPANY LTD","1080","944","1034","778","689","766","773","797","215","7076"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","3","2","1","0","0","2","1","1","0","10"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","0","0","1","0","0","0","1"
"VE COMMERCIAL VEHICLES LTD","58","28","40","33","26","27","54","35","7","308"
"VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD)","10","5","7","0","1","0","0","0","1","24"
"VINFAST AUTO INDIA PVT LTD","0","0","1","0","0","2","0","1","0","4"
"VMP CONCRETE EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"VOLVO AUTO INDIA PVT LTD","2","0","0","0","0","0","0","0","0","2"
"WARDWIZARD INNOVATIONS & MOBILITY LIMITED","0","0","0","0","2","0","0","0","1","3"
"ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO)","0","1","0","0","0","0","0","0","0","1"
