"State Wise and Month Wise Data for All State (2016-2018)"\n\nState,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
Andaman & Nicobar Island,756,699,793,779,797,731,677,936,881,839,902,663,776,721,1498,524,717,850,739,675,742,1038,916,769,884,678,843,815,846,796,1016,825,771,954,776,904,29526
Andhra Pradesh,67423,79398,85293,76314,93309,126050,89750,83855,81078,98670,92451,68481,78038,89782,100102,103684,94209,110237,93451,92846,103750,121542,85909,70864,102851,81466,132889,118361,108492,107738,98755,107668,83734,129659,103536,67969,3429604
Arunachal Pradesh,1046,1384,1491,1388,1662,1614,1460,1622,1736,1575,1702,1469,1508,1498,2948,2068,2034,1894,1983,2058,1644,1649,1949,1838,1900,1747,1757,1987,2322,1956,2166,2151,1783,1818,1789,1803,64399
Assam,25258,27556,27684,25635,29849,27016,27847,27326,31324,31557,25765,22499,24580,32495,42726,35508,33427,32639,33944,34218,33215,42199,45899,35744,40073,42248,41627,42062,46623,43010,39937,42369,41494,48769,47798,41615,1273535
Bihar,55850,67112,76576,89804,79158,78828,74906,66297,61750,71579,85606,63340,48987,46481,68796,58965,90096,94719,80951,81181,74653,69430,106633,93618,137019,65988,149189,114138,136532,105094,104621,99801,82024,78715,126676,86567,3071680
Chandigarh,3866,4490,3861,3395,4834,3607,3607,4211,3478,3439,4867,3685,3900,3480,4522,3859,4006,3972,3998,3852,3487,4480,5694,3168,4487,3642,3572,4168,3975,3730,3786,4079,3805,3447,4643,4072,143164
Chhattisgarh,44925,39656,37474,35097,37165,36453,35152,31436,29772,45104,58884,36677,40032,38995,62865,46694,36093,42124,34910,35117,35832,71510,67837,44334,55105,45892,49757,43321,46738,47583,47547,37758,33601,47485,73932,48282,1601139
Delhi,55391,52911,53322,57067,55946,52948,56141,53522,45324,80391,68982,37543,64592,56066,59108,55360,55150,56591,53975,52845,53217,83266,64586,41731,69897,55574,58058,58343,58767,55346,59404,60811,50727,59193,81589,46829,2080513
Goa,7230,6589,6986,5853,5841,4741,4694,7532,6879,9818,6094,6145,7489,6392,9197,6475,5904,6368,4540,9208,8600,8513,7697,6271,8179,6684,7870,6538,5769,5135,4874,6706,8262,7817,8031,5142,246063
Gujarat,121155,135845,121704,121516,134203,131382,123659,115930,112600,200750,168844,114836,118432,129955,152415,142906,111490,138429,130512,137608,134307,195711,209983,124554,158808,143625,151326,156546,148229,140468,157487,122340,136277,168149,186984,157700,5156665
Haryana,48951,56078,57119,52263,62252,56009,53990,57346,55946,51452,77032,50195,54831,55557,79227,54675,64140,47887,50126,52226,63224,61826,92214,69525,73008,65511,70465,57033,83444,63740,72678,74637,65502,61016,73990,92037,2277152
Himachal Pradesh,8862,9827,9001,9374,11017,8970,9710,10813,9317,9441,16430,11319,9324,9915,12108,12268,12067,10079,9877,10638,9217,13685,17563,12477,11315,10416,11579,11514,13622,10307,13266,11862,10224,10033,16678,14321,408436
Jammu and Kashmir,8810,8970,10211,9246,11185,11520,5967,7077,7595,11198,11564,11596,9675,10234,15542,11663,17524,13821,15281,13780,13574,15253,17721,11713,13977,11333,14356,10176,16546,16935,19903,16588,18053,16002,14859,15690,465138
Jharkhand,35240,36698,32139,36568,38512,40355,40953,41523,34486,31209,33025,46673,58219,16069,52797,59971,61913,47799,47648,40600,39020,53794,62874,44418,45365,47497,57198,51561,61643,51484,53302,47612,43656,50869,68354,56791,1667835
Karnataka,160558,143391,148870,127582,149502,150294,120894,146510,129744,145138,138703,101893,130874,132555,162088,134415,137942,140911,117459,129880,130733,135870,148183,102615,145601,136681,137824,145773,142705,146289,141337,135604,149264,142000,152687,124655,4967024
Kerala,81328,73083,76077,67788,71435,76479,75024,82954,99642,107160,80957,56698,81305,72857,87865,74009,84687,83676,75987,88284,110303,107515,85148,70102,102260,79498,87976,86165,94123,87178,86446,72189,117827,95401,79172,66728,3025326
Ladakh,97,107,83,53,224,381,305,244,245,212,221,177,146,54,86,57,212,516,371,357,267,321,326,203,180,91,99,94,476,621,502,260,385,328,206,197,8704
Lakshadweep,88,146,143,68,122,115,77,63,107,95,69,101,201,172,134,108,114,106,100,78,94,89,140,191,134,146,183,128,159,113,119,127,148,134,143,127,4382
Madhya Pradesh,96370,85794,93130,89515,101003,86504,80894,71889,74474,79630,109449,128081,79009,76180,125840,106621,114107,105731,103322,95552,89922,104214,156908,139786,115729,112620,107992,99178,152307,120462,119473,105558,101765,114848,129386,179234,3852477
