"Maker and Month Wise Data for Chhattisgarh (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","1","0","0","0","0","0","0","0","0","0","0","1"
"VICKY ENGINEERING","13","4","17","1","3","10","6","2","1","3","11","12","83"
"VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"VIPLAV AGRO","1","0","0","0","0","0","0","0","0","0","0","0","1"
"VIPUL AUTO IND","10","4","0","3","2","3","0","1","2","1","0","5","31"
"VISHAL AGRICULTURAL WORKS","0","0","1","0","0","0","0","0","0","2","1","1","5"
"VISHAL AGRO ENG WORKS","0","0","0","1","0","0","0","0","0","0","0","0","1"
"VISHVAS TRACTORS LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"VISHWANATH AUTO ENGG  WORKS","4","4","2","0","3","6","5","2","0","1","5","7","39"
"VOLKSWAGEN INDIA PVT LTD","24","29","15","18","21","16","15","25","22","31","44","23","283"
"VOLVO CE INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"VOLVO GROUP INDIA PVT LTD","39","7","12","38","0","0","6","0","0","22","6","18","148"
"YOUNG ENTERPRISES","6","3","1","0","10","6","2","4","2","6","7","0","47"
