"Vehicle Category and Month Wise Data for Kerala (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),13,10,9,3,7,6,5,7,6,11,6,8,10,7,10,2,3,4,8,2,8,10,11,5,9,8,16,16,3,7,14,12,9,8,8,9,290
HEAVY GOODS VEHICLE,476,413,491,338,348,370,322,327,249,238,239,251,360,458,445,20,3,37,71,60,162,271,213,267,291,313,432,324,69,202,269,243,281,286,311,282,9732
HEAVY MOTOR VEHICLE,48,37,48,11,9,14,15,11,15,9,9,10,7,6,4,0,1,1,1,1,8,7,7,5,5,7,4,1,0,1,5,3,2,3,3,4,322
HEAVY PASSENGER VEHICLE,50,63,66,71,53,35,56,94,53,94,101,96,91,160,118,32,0,1,1,0,4,0,1,0,1,1,6,1,0,0,0,2,4,1,1,1,1258
LIGHT GOODS VEHICLE,1924,1819,2029,1304,1579,1445,1667,1465,1317,1630,1567,1460,1726,1508,1663,61,29,462,736,1022,1579,1754,1808,1822,1840,1585,1772,1609,331,688,1481,1669,1767,1625,1652,1485,50880
LIGHT MOTOR VEHICLE,25985,16201,23215,11939,16115,15932,17406,14294,18228,19599,16469,12773,23148,14387,16195,1984,3756,9036,9302,10219,19137,18393,17108,14733,22128,17398,21903,23895,5220,10076,18485,22898,22123,14617,15339,17046,576682
LIGHT PASSENGER VEHICLE,1312,1075,1279,863,1327,1625,1229,906,789,708,627,536,530,439,544,17,27,61,76,71,111,114,125,106,123,128,156,155,52,89,226,212,208,223,153,162,16384
MEDIUM GOODS VEHICLE,277,292,288,205,233,147,183,198,147,162,167,173,190,197,259,17,1,7,33,38,92,209,130,153,225,262,272,228,32,95,145,164,171,177,155,109,5833
MEDIUM MOTOR VEHICLE,108,125,127,78,80,60,59,61,41,65,75,42,75,66,95,1,8,31,39,28,74,91,84,108,122,111,124,98,12,27,32,41,90,40,29,38,2385
MEDIUM PASSENGER VEHICLE,52,40,52,22,97,131,73,50,65,46,48,57,78,74,99,14,0,1,3,4,7,5,2,2,4,5,5,4,2,0,7,5,8,6,6,21,1095
OTHER THAN MENTIONED ABOVE,5,5,8,7,19,44,53,58,36,40,34,43,56,59,52,0,7,30,34,41,61,76,76,68,93,90,125,71,13,18,49,36,79,62,53,77,1678
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
THREE WHEELER(NT),73,50,63,36,53,57,54,59,67,73,56,56,53,60,54,0,6,20,22,30,32,35,32,29,23,28,26,20,5,7,26,35,38,40,35,30,1383
THREE WHEELER(T),3012,2679,3102,2048,2424,2336,2551,2205,2533,2849,2604,2224,2507,2544,2504,11,215,678,790,746,1146,1130,1137,1063,1216,1098,1178,1107,146,302,888,1168,1429,1486,1507,1257,57820
TWO WHEELER (Invalid Carriage),157,194,383,100,28,14,22,8,12,15,14,20,55,49,206,2,4,5,11,6,12,22,14,24,6,17,29,21,2,17,20,4,11,21,21,37,1583
TWO WHEELER(NT),63426,54432,69766,28751,56346,56440,55295,44769,56226,63885,47543,38191,49040,44697,46109,204,11686,37959,31003,30453,52412,50031,48436,44474,54308,49495,56673,57621,6682,17850,41481,52523,48260,42410,43739,43994,1596610
TWO WHEELER(T),9,5,32,4,12,14,7,6,7,30,7,10,6,37,99,0,4,8,6,8,10,10,15,9,10,10,14,7,0,0,6,9,11,12,7,37,478
Total,96927,77440,100958,45780,78730,78670,78997,64518,79791,89454,69566,55950,77932,64748,68456,2365,15750,48341,42136,42729,74855,72158,69199,62868,80404,70556,82735,85179,12569,29379,63134,79024,74491,61017,63019,64590,2324415
