"Maker and Month Wise Data for Andhra Pradesh (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"A K S ENG AGRO INDUSTRIES","0","4","0","1","3","2","1","2","3","2","2","5","25"
"ACTION CONSTRUCTION EQUIPMENT LTD.","2","5","5","2","0","3","1","3","1","1","1","11","35"
"ADAPT MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","1","0","2","2","1","0","1","2","1","0","2","13"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","1","0","0","0","1","1","0","0","0","0","3"
"AJAX ENGINEERING LTD","0","2","13","11","12","10","8","7","14","3","5","4","89"
"ALL TERRAIN CRANE","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","1","0","2","0","0","3"
"AMMANN INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","2","3"
"AMPERE VEHICLES PRIVATE LIMITED","175","265","338","313","411","96","43","25","23","12","6","4","1711"
"ANNAPURNA INDUSTRIES","6","2","10","2","1","0","0","1","6","2","8","3","41"
"ASHOK LEYLAND LTD","853","1074","1125","887","632","737","736","797","650","723","709","569","9492"
"ATHER ENERGY LTD","358","473","426","375","641","84","126","196","211","169","276","287","3622"
"ATUMOBILE PVT LTD","0","1","13","0","5","1","0","1","0","0","0","2","23"
"AUDI AG","0","4","3","5","1","1","0","2","1","2","0","1","20"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","10099","11076","11592","10314","13176","11682","11731","12873","12177","16628","16397","12563","150308"
"BALAN ENGINEERING PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BATTRE ELECTRIC MOBLITY PVT LTD","19","5","1","35","82","3","3","4","9","6","18","19","204"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","45","29","62","39","26","19","34","24","19","12","5","11","325"
"BENTLEY MOTORS LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","31","42","34","32","53","7","52","49","49","55","53","29","486"
"BHAGYALAXMI TRAILER","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BHARATH ENGINEERING WORKS","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BMW INDIA PVT LTD","53","22","38","42","45","30","32","33","38","32","30","32","427"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BOUNCE ELECTRIC 1 PVT LTD","27","16","18","9","15","1","5","3","53","5","2","4","158"
"BULL MACHINES PVT LTD","0","0","3","2","3","0","2","1","2","2","1","0","16"
"BYD INDIA PRIVATE LIMITED","0","11","18","17","12","7","5","3","3","1","0","1","78"
"CAPTAIN TRACTORS PVT. LTD.","1","5","5","6","9","8","12","10","4","10","5","5","80"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","2","2","2","0","2","0","3","3","0","0","2","1","17"
"CATERPILLAR INDIA PRIVATE LIMITED","1","3","3","9","8","3","3","2","7","7","9","11","66"
"CHANDANA CORPORATION","11","14","19","13","14","10","22","16","8","8","17","13","165"
"CHETAK TECHNOLOGY LIMITED","0","0","36","20","4","1","0","1","0","0","0","0","62"
"CHINA HAOCHEN (IMPORTER: ADMS MARKETING)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CLASSIC LEGENDS PVT LTD","160","144","137","118","95","97","112","83","90","93","116","115","1360"
"CNH INDUSTRIAL (INDIA) PVT LTD","72","67","77","78","88","81","85","72","53","64","61","73","871"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","7","8","23","10","2","9","6","1","6","5","1","3","81"
"DAO EVTECH PRIVATE LIMITED","6","3","5","6","3","8","12","5","4","4","2","6","64"
"DASHMESH MECH WORKS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DASMESH MECHANICAL WORKS PVT.LTD","5","10","4","2","2","3","0","0","1","8","4","2","41"
"DEVI ENGINEERING WORKS","0","0","1","0","0","0","0","5","0","0","1","0","7"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","3","1","2","0","1","7"
"DUCATI INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"EICHER MOTORS LTD","1","0","0","0","0","1","0","0","0","0","0","0","2"
"EICHER TRACTORS","278","192","203","162","212","179","245","206","179","196","192","232","2476"
"ELTHOR ENERGY PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","1","0","1","3"
"ERISHA E MOBILITY PVT LTD","0","0","0","0","0","0","0","0","1","0","1","0","2"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","3","1","4","2","1","2","2","0","1","1","1","1","19"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","177","142","143","120","192","142","128","156","107","146","99","109","1661"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","1","0","1","3","7","6","7","4","29"
"ESCORTS LTD","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ESCORTS TRACTORS LTD","0","0","0","2","1","0","0","0","0","0","0","0","3"
"EULER MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"EVTRIC MOTORS PVT LTD","0","0","2","2","12","14","7","7","5","2","0","2","53"
"EXIDE INDUSTRIES LTD","0","1","1","0","1","2","2","1","2","0","0","2","12"
"FIADO INDUSTRIES PVT LTD","0","0","0","0","0","0","0","0","1","0","1","0","2"
"FORCE MOTORS LIMITED","299","48","48","31","36","200","67","85","41","77","48","45","1025"
"FORD INDIA PVT LTD","0","0","0","1","0","0","0","0","0","1","0","0","2"
"FRED INDIA PVT LTD","0","0","0","0","0","3","0","0","0","4","2","0","9"
"GANESH AGRO INDUSTRIES","12","10","9","16","7","4","6","6","4","10","33","10","127"
"GAYATRI AGRO INDUSTRIES","1","0","0","0","4","0","0","2","4","0","1","0","12"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","0","0","0","0","0","0","0","1","1","3","1","6"
"GODREJ & BOYCE MFG. CO. LTD","0","0","0","0","0","0","1","1","0","0","0","0","2"
"GODREJ AND BOYCE MFG CO LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"GOREEN E-MOBILITY PVT LTD","2","0","1","5","11","2","2","4","7","3","2","4","43"
"GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"GREAVES ELECTRIC MOBILITY LTD","21","28","40","61","104","42","59","83","66","57","47","74","682"
"GROMAX AGRI EQUIPMENT LTD","24","18","9","20","14","24","12","15","4","11","17","17","185"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","1","1","3","2","2","2","2","0","1","14"
"HERO ELECTRIC VEHICLES PVT. LTD","190","159","155","157","100","24","11","8","7","7","3","5","826"
"HERO MOTOCORP LTD","7065","7245","7593","7543","8200","7755","8743","9361","8515","10165","14883","10501","107569"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","3","5","4","9","10","9","4","4","5","7","4","3","67"
