"State Wise and Month Wise Data for All State (2022-2024)"\n\nState,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
Andaman & Nicobar Island,471,535,535,616,510,581,568,613,674,611,639,698,616,596,769,521,659,604,680,811,618,672,857,671,720,722,653,670,741,605,784,710,616,805,706,728,23585
Andhra Pradesh,76794,68198,68798,72546,65478,55046,57824,71261,71354,90832,85429,64901,70424,69123,73882,64721,73178,63344,68679,75630,70028,86758,98587,77070,70562,71467,86854,72915,74164,68860,75224,62660,59649,107385,105748,56264,2651637
Arunachal Pradesh,1905,1782,2090,2168,2545,2661,2483,2449,2271,1823,2536,2021,1941,1895,2553,2142,2692,2614,2756,2915,2733,2784,3078,2850,2472,2664,2766,3014,4733,3282,3067,2938,2728,3045,3134,2953,94483
Assam,36759,37861,45086,39732,42251,33509,39851,40730,48217,51754,48640,51405,56708,52413,60282,49723,52538,47584,48576,48452,51620,70890,58520,55531,59960,55876,61154,57817,56146,46363,44267,48174,49062,65727,44682,40225,1798085
Bihar,67199,74211,104450,97372,129305,96309,79824,82920,76688,110867,132562,78124,82264,96879,112636,101956,145371,111867,90964,78498,88720,90283,176587,112646,93623,104244,125238,144141,116695,115279,109943,88487,83648,116436,217631,79846,3813713
Chandigarh,2930,3287,4363,4183,4340,4060,5052,4043,4312,5866,4357,4070,4794,3255,3559,4847,5321,5771,4662,4362,4029,4368,4940,3324,3720,3303,3407,3517,3747,3458,4273,3936,3041,6921,3548,3528,150494
Chhattisgarh,41837,37465,41163,41106,37894,38148,36835,31869,32364,71471,53884,36948,46433,41780,45564,39967,39464,42099,40166,39327,42015,52077,91800,43845,57506,53629,59568,58547,56131,54203,55680,47435,40337,87511,101102,42353,1779523
Delhi,42387,42671,47831,51700,47370,46452,51721,51960,44723,76211,62534,42268,59479,48784,54315,48006,53028,48338,51019,54117,52473,58420,80847,48929,67204,52898,54758,57755,54048,49177,58603,53913,45763,87988,83388,45575,1976653
Goa,4442,4582,6094,5432,4883,4587,4567,7150,5952,8806,7349,6954,6691,5955,7817,5503,6100,5455,4928,6604,8758,7884,9126,6447,7833,6913,7145,7270,5845,4916,5183,7085,8060,10491,7170,6388,236365
Gujarat,91177,103579,118900,128008,102055,121141,121247,110684,122279,173774,225311,151224,113934,131645,135797,133169,126675,123742,164336,142116,189182,221247,207714,132211,156642,138619,139283,142065,136670,125206,153151,139698,126643,294634,196540,150228,5290526
Haryana,55489,50638,59767,58061,61244,57825,58090,61783,49498,69972,90741,66389,66361,62974,68034,69376,69353,68322,36819,73966,79469,68708,75359,96893,85139,75329,78851,73158,70379,74097,66953,82294,80098,101017,124211,84629,2571286
Himachal Pradesh,7316,8690,8124,8967,10069,10252,10422,10067,8025,10079,15386,11930,9671,9814,9384,10092,10155,10198,10569,10634,10368,8676,11407,16874,12273,10954,10240,10959,12496,9681,11690,12369,9956,12145,19303,15671,394906
Jammu and Kashmir,9170,11392,12955,14984,16348,14359,15951,15969,14679,15409,10495,11088,9997,11301,15864,12315,16662,15268,16895,16988,15424,13862,16372,10658,12532,11925,14416,16084,14500,13728,19233,17285,12764,21910,14863,10144,513789
Jharkhand,31619,34387,47059,43122,46237,40128,40768,32875,31162,59704,49290,35280,35641,39971,48239,44728,50235,45441,41919,36733,40793,43312,75733,42300,40039,44193,47682,56007,46344,47369,48504,37919,35309,63173,74051,38625,1615891
Karnataka,110297,106527,130982,140661,117074,130382,113436,127618,129573,159430,152174,114050,139339,127605,154330,131590,136140,148330,137865,148514,150160,155377,182793,134576,168023,156452,172854,145384,155952,151451,138814,165630,136576,201728,182499,112650,5166836
Kerala,67343,59597,71812,62243,59953,64881,56716,76501,77632,65561,60398,61594,65194,59532,81564,46835,61675,58270,56845,75568,78836,60544,57851,56650,68197,59192,63886,59271,62814,58613,63166,67779,87455,72165,61994,54850,2322977
Ladakh,268,115,162,568,947,1096,769,609,348,432,453,283,202,130,186,551,825,775,626,512,414,331,317,274,282,116,229,466,751,784,682,570,385,433,422,317,16630
Lakshadweep,84,56,46,19,104,56,24,23,27,38,44,88,62,40,61,66,91,43,41,25,36,31,45,79,51,78,100,17,62,42,36,25,61,34,35,35,1805
Madhya Pradesh,101050,92545,104694,96442,121915,109362,110812,132056,73737,169038,159746,95787,115403,109185,139789,83807,127045,113215,103715,106546,103337,132124,243938,120399,134256,126792,131961,153865,124728,111121,118717,103496,90527,189623,284021,98557,4533351
Maharashtra,197754,170446,197472,191743,177792,172885,167405,180513,181136,268281,269736,197831,223909,188778,226240,193908,186738,182209,185915,197057,199780,242641,305755,230126,255034,214225,220804,246797,225002,192684,206107,202288,197486,366004,332837,228058,7823376
Manipur,4572,5882,4494,2371,3361,4631,5145,4496,3546,3485,7451,5947,4415,4134,4580,4686,767,582,1701,1450,710,1354,1131,1246,2113,2132,1846,2272,2310,2609,3213,2999,1821,2796,1779,2204,110231
Meghalaya,2567,2475,3361,2759,3270,2793,2776,3316,3213,3165,3193,2709,3095,2573,3754,3007,3429,3301,3501,3734,3575,3612,3789,2941,3550,3709,4327,3386,3934,3188,3719,3415,3376,3918,3589,2234,118253
Mizoram,1971,2256,2530,2126,2285,2298,1881,2647,2176,2185,2173,2453,2332,2234,2250,2021,2181,2323,2357,2508,2204,2668,2771,2803,2682,2980,2699,2560,2670,2271,2580,2122,2007,2285,2745,2386,85620
Nagaland,1996,2131,2212,2478,2180,2141,2102,2585,2423,1883,2098,1724,1863,2126,2981,2516,2327,2054,2222,2287,2329,2468,2502,1706,2779,2907,2609,2885,2878,1660,2428,1941,1927,2025,2008,1611,80992
Odisha,56067,50891,58710,54622,48607,50210,43208,40715,46594,84077,49884,50159,59960,60320,65643,55035,56807,54859,50845,48653,58285,87495,78695,63120,68237,72059,85168,71583,65962,61196,61927,50334,47230,108253,67978,50967,2184355
Puducherry,4850,4075,4788,3795,3905,4191,4052,4622,4689,4344,3826,3160,5465,4141,4760,3874,4740,4587,4824,5198,4352,4834,4762,3753,6465,5829,5501,5340,5874,5342,6198,5495,5372,5466,4771,3803,171043
Punjab,42715,38696,47888,45705,45770,42263,40924,46487,40061,51671,60116,54080,48884,51803,56084,43396,50067,55787,48438,50707,53608,50844,66947,64575,54741,55953,59490,54455,55159,45497,57053,57695,47164,65864,77624,75054,1903265
Rajasthan,78775,86109,92768,101618,110244,90088,94395,89298,82647,175373,198299,89451,101919,97494,128869,100829,118821,108105,113568,113162,120184,149121,238561,134864,125029,121277,130323,117076,125383,113142,128401,125092,95188,194503,288447,89871,4468294
Sikkim,744,855,941,935,970,999,906,879,1079,734,885,622,937,732,1050,953,1017,1013,831,965,1088,800,901,718,983,854,901,873,1210,1058,926,965,992,1109,915,885,33225
Tamil Nadu,155289,136796,159020,135599,132782,142466,131970,152691,155023,139464,151719,107907,172754,150946,158869,127961,142656,159446,154538,167305,151979,173574,153134,112843,196073,184726,164632,159578,155080,155971,179183,163987,158250,154724,169024,112201,5480160
Telangana,72191,68625,77366,68932,69998,75322,73497,67729,77087,79506,99129,78591,82507,75027,78958,72990,74123,75871,74528,83908,76808,74398,92973,90502,91362,88958,86748,74638,81849,80222,91675,75473,76194,86307,117034,76150,2887176
Tripura,4175,3747,5122,4121,3939,4069,3920,3873,5440,4672,4749,4878,4073,4114,4344,3714,4859,4102,4649,4754,4611,5619,6750,5104,4937,5120,6330,4753,5250,4835,5377,4067,4891,7433,5945,4728,173064
UT of DNH and DD,1729,1602,1470,1589,1405,1423,1339,1338,1364,1523,2210,1817,1551,1662,1888,1478,1611,1525,1741,1465,1785,2568,2431,2571,2262,2267,1696,2035,1787,1517,2008,1897,1826,2657,2284,1965,65286
Uttar Pradesh,233942,218462,242252,287964,334321,257816,214775,190840,152424,333442,351152,195920,254296,260690,285489,267323,376360,298871,235571,225061,219805,243414,483047,294155,282375,293373,297050,371814,334311,273188,282824,243177,193166,367233,582567,236760,10215230
Uttarakhand,16162,14560,17407,18782,18699,19139,18393,18106,14233,26485,32546,16503,20007,17067,20071,19793,21992,20250,19516,19411,18993,20561,32184,27075,19188,21711,19373,21262,25752,20688,22721,19996,18840,28781,43278,20197,769722
West Bengal,74144,69674,88884,82749,81980,81878,76706,76993,81535,59824,116070,81553,66074,80358,88341,66962,91311,78311,80621,79037,72846,81181,112377,104795,88868,89285,84699,98850,100378,92666,114401,86824,88842,113876,126965,99270,3159128
Total,1698180,1615400,1881596,1875818,1912030,1785447,1690354,1748308,1648185,2381792,2517204,1730407,1939195,1877076,2148796,1820361,2117013,1964476,1867426,1928980,1981955,2225500,2984581,2105124,2247712,2142731,2235241,2303079,2191735,1995969,2148711,1990170,1817250,2956405,3354838,1851910,74680955
