"Vehicle Class and Month Wise Data for All State (2025-2026)"\n\nVehicle Class,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
Tractor-Trolley(Commercial),360,248,228,261,287,260,213,159,125,178,252,326,467,355,195,310,333,223,223,169,27,5199
Trailer (Agricultural),5017,3997,5163,4297,3673,3385,3349,3453,4801,5218,6321,5989,5917,5524,5070,4535,3727,3856,4268,3056,424,91040
Trailer (Commercial),2262,2242,2369,1824,1532,1535,1407,1471,1495,1594,2215,2541,2505,2887,2295,1947,1876,1676,1779,1633,170,39255
Trailer For Personal Use,4,4,2,45,2,0,1,0,1,1,1,0,0,1,7,2,0,0,0,0,0,71
Tree Trimming Vehicle,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,4
Vehicle Fitted With Compressor,15,15,25,19,25,12,9,7,11,16,22,19,25,13,19,15,11,15,13,16,1,323
Vehicle Fitted With Generator,11,13,23,6,19,17,10,6,26,3,10,18,12,7,18,16,8,12,17,11,1,264
Vehicle Fitted With Rig,86,73,70,50,47,30,39,24,31,26,45,38,47,44,37,59,21,15,27,24,5,838
Vintage Motor Vehicle,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3,0,0,0,8
X-Ray Van,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,5
e-Rickshaw with Cart (G),5742,6380,7194,7445,7957,6840,6888,6214,6031,6985,8146,7610,7656,7271,7432,7753,7490,7303,7282,6029,767,142415
e-Rickshaw(P),38817,32340,36057,39502,40616,35322,39773,36955,34070,37086,48828,57467,44446,34840,28937,28141,29800,32129,34722,28814,3442,742104
Total,2410340,1997046,2234627,2396779,2316033,2104462,2063401,2067245,1931035,4170416,3451376,2146889,2845981,2526717,2820274,2726113,2577838,2603783,2631915,2442124,293107,50757501
