"Maker and Month Wise Data for Andhra Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SRI VENKATESWARA ENGINEERING WORKS AP313381731","0","0","0","2","2","2","0","8","3","17"
"SRI VIJAYALAKSHMI AGRO INDUSTRIES AP235531371","0","5","0","2","2","3","3","2","0","17"
"SRI VIJAYALAKSHMI ENGINEERING WORKS AP118103237","0","0","0","0","0","0","0","0","1","1"
"SRI VINAYAKA ENGINEERING WORKS AP56120493","3","8","12","3","3","7","8","1","2","47"
"SRIRAGHAVAKRISHNASMALLSCALEENGINEERING AP213033561","0","2","1","0","0","0","0","0","0","3"
"SRISAILESWARA  PRODDATUR TROLLEYWORKSAP44060012024","1","4","1","2","1","1","0","0","0","10"
"SRISAIVISAKHAAGROINDUSTRIESKRISHNAAP105384286","0","0","3","1","1","3","11","11","1","31"
"SRIVENKATALAKSHMIENGINEERINGWORKSAP235661342","0","0","0","1","1","1","0","0","0","3"
"SRIVENKATESWARAENGINEERINGWORKS AP315793529","1","5","2","4","0","1","2","6","1","22"
"STAR SMART BIKES PVT LTD","0","0","0","0","0","1","0","0","0","1"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","22","15","20","11","12","9","13","13","0","115"
"STELLANTIS INDIA PVT LTD","4","3","0","4","7","3","0","1","0","22"
"SUBRAHMANYESWARA AGRO INDUSTRIES AP105380107","2","3","6","7","4","4","8","5","2","41"
"SUBRAHMANYESWARA ENGG WORKS AP235530208","8","7","6","4","4","0","2","8","0","39"
"SUDHA ENGINEERING TRAILER WORKS AP312871346","0","1","0","0","1","0","0","0","0","2"
"SUKHDEV AGRO INDUSTRIES","1","0","0","0","0","0","0","1","0","2"
"SUPERTECH EV LIMITED","1","2","0","0","1","1","0","1","0","6"
"SURESH AGRO PROODUCTS AP105381068","4","8","4","3","7","3","6","7","0","42"
"SURJA AUTOMOTIVE PVT LTD","2","1","0","2","2","4","4","2","3","20"
"SURYA INDUSTRIES AP105380272","0","0","0","0","0","2","1","0","1","4"
"SUZUKI MOTORCYCLE INDIA PVT LTD","7311","8935","11070","9458","8216","10201","8919","9281","1356","74747"
"SWARNALATHA ENGINEERING WORKS AP49764388","5","6","6","2","5","2","3","12","3","44"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","2","1","1","7","2","1","6","0","20"
"TAFE LIMITED","308","383","373","474","606","521","410","381","85","3541"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","13","10","21","18","15","17","12","15","4","125"
"TATA MOTORS LTD","783","1260","1305","1140","1034","1483","1312","1123","208","9648"
"TATA MOTORS PASSENGER VEHICLES LTD","1201","1248","1416","1340","1156","1312","1136","1111","223","10143"
"TATA PASSENGER ELECTRIC MOBILITY LTD","212","155","220","299","347","458","515","490","105","2801"
"TEREX INDIA PRIVATE LIMITED","0","0","0","1","0","1","3","0","0","5"
"THIRUMALA ENGINEERING WORKS AP29071505","8","8","7","8","4","10","8","8","1","62"
"TI CLEAN MOBILITY PVT LTD","27","41","25","23","22","24","30","21","5","218"
"TIRTH AGRO TECHNOLOGY PVT LTD","0","0","1","0","0","0","0","0","0","1"
"TIVOLT ELECTRIC VEHICLES PVT LTD","2","4","2","0","2","3","3","4","1","21"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","724","593","584","675","711","814","691","651","112","5555"
"TRATEC ENGINEERS PVT LTD","0","0","0","0","0","0","2","0","0","2"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","2","2","2","4","4","4","5","6","1","30"
"TVS MOTOR COMPANY LTD","9545","13012","14713","13701","11975","13742","15870","14840","2379","109777"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","5","9","14","28","17","25","36","30","6","170"
"UTTAM CONSTRUCTION EQUIPMENTS","0","0","0","2","0","1","2","0","0","5"
"V.S.T. TILLERS TRACTORS LIMITED","11","6","2","6","4","5","14","10","1","59"
"VE COMMERCIAL VEHICLES LTD","108","255","226","267","271","413","336","242","47","2165"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","2","4","8","0","5","9","4","20","0","52"
"VEERA VIDYUTH VAHANA PVT LTD","0","0","0","0","0","0","0","8","0","8"
"VENKATESWARA ENGINEERING WORKS AP235701455","0","1","0","0","1","0","0","3","0","5"
"VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD","0","0","0","0","0","1","0","0","0","1"
"VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD","0","0","0","0","0","0","1","0","0","1"
"VINFAST AUTO INDIA PVT LTD","28","9","12","46","65","91","45","33","7","336"
"VISAKHA AUTO GRAGE AP203572501","3","3","2","1","6","1","0","0","0","16"
