"Vehicle Category and Month Wise Data for All State (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),101,101,104,107,95,87,73,77,89,130,114,108,124,134,138,118,179,140,154,118,133,156,179,140,165,141,134,150,147,137,161,118,155,143,195,149,4694
HEAVY GOODS VEHICLE,22663,26495,27987,25302,23441,22129,16904,16819,19585,21627,21704,16539,18537,23923,50826,27192,14844,15999,18874,18186,24071,24489,27317,25488,36094,33015,35767,33705,28405,23826,24370,24319,27643,33032,27724,24800,903641
HEAVY MOTOR VEHICLE,471,443,565,438,411,362,308,389,364,376,446,374,362,372,876,416,311,391,392,272,338,334,440,410,390,401,453,506,502,403,436,353,350,447,398,399,14899
HEAVY PASSENGER VEHICLE,2461,2816,3345,3108,3265,3000,2742,3330,3713,3923,2764,3380,2929,2815,6358,3694,2818,3005,2432,2065,2583,2030,2145,1994,2074,2007,2338,2448,2337,2399,2151,2118,1891,2469,2156,2177,99280
LIGHT GOODS VEHICLE,45029,46432,48405,38433,41514,43185,39875,40535,41531,45621,45162,39997,39864,40360,56053,44025,39460,40248,42624,40434,42955,50293,61621,51059,58444,56346,61688,59171,57504,53810,57869,55088,55473,62028,63794,67182,1773112
LIGHT MOTOR VEHICLE,309205,269238,276337,252138,271261,261065,255909,261310,247084,317708,291929,253977,315242,272852,334886,271432,293664,311394,301782,285719,304514,324483,335610,287635,366274,297038,341308,317107,325611,303305,320977,296490,279246,307012,337542,320789,10719073
LIGHT PASSENGER VEHICLE,21933,21435,22191,20514,22262,25133,22958,23935,24483,23669,21148,18618,23170,22095,28752,21406,19698,19140,16403,17214,17810,17031,19578,16351,20626,19200,24064,23164,23365,24915,25264,23416,21729,20738,21110,19116,773634
MEDIUM GOODS VEHICLE,3413,3040,3048,2895,3076,2707,2452,2503,2568,3070,2949,2479,2616,2898,4516,2766,1972,1968,2054,2029,2309,2745,3242,3113,3782,3765,3886,4081,3689,3167,3348,3075,3617,3984,3703,3944,110469
MEDIUM MOTOR VEHICLE,590,531,630,480,549,598,642,511,592,664,673,657,542,500,929,494,559,722,736,712,606,609,873,951,1370,1083,1023,1095,1119,1015,1105,998,1207,1467,1408,1547,29787
MEDIUM PASSENGER VEHICLE,930,1152,1482,1517,2352,3538,2208,1934,1688,1328,1047,1036,1157,1168,2323,2075,2123,3213,2158,1710,1548,1222,1199,991,1123,1127,1442,1873,2411,3113,2485,1914,1748,1525,1127,1019,62006
OTHER THAN MENTIONED ABOVE,4008,4384,4591,3866,4351,4623,3901,3741,3465,3372,3668,3886,3626,3133,5550,3635,4334,4583,4618,3810,2675,2786,4453,4417,3646,4240,4140,3827,3951,3073,3359,2673,2579,3203,3370,3435,136972
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THREE WHEELER(NT),2396,2708,2682,1924,2003,2552,2159,2037,1997,2264,1835,1411,1452,1629,1822,1542,1148,1507,1366,1487,1776,1594,1464,1261,1572,1326,1928,1303,1501,1719,1479,1579,1494,2289,1618,1098,62922
THREE WHEELER(T),44589,46448,53108,47315,49361,52571,46037,46913,48378,53034,44886,34175,35679,38670,52962,41720,39589,43073,46221,49015,52207,58927,72227,60372,68519,67384,69462,65021,64130,61371,66431,63882,65600,71098,66327,65896,1952598
TWO WHEELER (Invalid Carriage),247,351,430,260,214,261,293,254,267,213,207,204,153,263,893,585,478,316,335,274,286,556,638,565,546,408,483,824,971,739,1210,771,840,1117,667,839,17958
TWO WHEELER(NT),1348885,1398653,1397750,1407835,1508630,1480880,1372844,1327593,1309973,1594947,1784912,1239896,1267023,1324711,1806574,1596421,1677793,1579194,1461803,1389561,1410318,1863254,2030646,1413279,1627596,1501895,1741467,1711101,1894012,1711616,1717298,1571772,1549446,1594964,1983164,1770425,56368131
TWO WHEELER(T),229,317,259,170,215,144,181,274,237,332,319,245,280,338,747,1183,389,391,335,376,455,455,563,574,768,872,811,736,1317,1622,1225,1461,2846,1760,1419,1457,25302
Total,1807150,1824544,1842914,1806302,1933000,1902835,1769486,1732155,1706014,2072278,2223763,1616982,1712756,1735861,2354205,2018704,2099359,2025284,1902287,1812982,1864584,2350964,2562195,1868600,2192989,1990248,2290394,2226113,2410972,2196230,2229168,2050027,2015864,2107276,2515722,2284272,73054479
