"Vehicle Category and Month Wise Data for Delhi (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),10,2,1,2,4,8,8,4,7,6,2,4,9,8,2,0,1,2,4,5,1,3,3,6,6,5,7,3,0,16,10,5,11,7,8,11,191
HEAVY GOODS VEHICLE,1,1,3,5,20,66,63,32,35,45,50,32,74,62,92,42,0,0,1,3,25,60,60,75,144,141,132,80,0,122,142,92,153,145,137,130,2265
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY PASSENGER VEHICLE,3,4,52,39,16,58,42,45,18,142,223,221,141,226,317,55,0,0,0,0,9,8,30,23,97,0,1,1,0,25,54,10,0,3,8,76,1947
LIGHT GOODS VEHICLE,1717,1451,1556,1479,1470,1220,1290,1347,1193,1432,1416,1094,1533,1657,1551,518,0,4,199,297,734,1138,1098,800,1078,1397,1559,840,14,807,1339,1227,1786,1454,1541,1320,40556
LIGHT MOTOR VEHICLE,15309,11710,12694,14508,12170,11597,10946,9456,8811,16434,11889,12912,15379,11231,7428,289,1806,7561,9687,10539,8087,14407,16062,13713,15820,13785,15331,7977,29,12816,14924,13074,9001,12683,11638,12389,404092
LIGHT PASSENGER VEHICLE,105,696,672,333,652,552,682,543,590,727,490,581,810,623,232,12,23,65,53,42,35,42,44,64,82,76,210,56,1,49,66,50,144,152,89,206,9849
MEDIUM GOODS VEHICLE,217,204,216,224,196,134,127,140,143,169,236,128,195,212,194,43,0,0,17,34,106,175,264,226,355,314,410,188,1,190,243,100,362,308,293,288,6652
MEDIUM MOTOR VEHICLE,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
MEDIUM PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,17,5,2,3,0,0,0,32
OTHER THAN MENTIONED ABOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
THREE WHEELER(T),2914,2337,2217,2203,2061,1947,2302,2641,2824,3174,3192,2610,2804,2351,1436,46,95,506,725,1041,926,1071,1354,1177,1612,1970,2361,1220,2,859,2044,2001,2565,2622,2620,2956,66786
TWO WHEELER (Invalid Carriage),4,2,5,2,1,1,4,16,1,8,3,14,5,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76
TWO WHEELER(NT),40994,32392,34872,37893,37928,32483,34979,34419,28866,49649,44355,20788,32622,28216,23712,924,7099,24938,26525,25775,21115,27790,41271,18099,29646,26752,31830,14221,23,22167,24940,26062,17342,26080,37698,18684,983149
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,61274,48799,52288,56688,54518,48069,50444,48643,42488,71787,61856,38385,53572,44590,34975,1930,9024,33077,37212,37736,31063,44694,60186,34183,48840,44440,51842,24588,70,37068,43767,42623,31367,43455,54032,36060,1515633
