"Maker and Month Wise Data for Delhi (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"INDIA KAWASAKI MOTORS PVT LTD","28","15","26","28","27","25","33","27","11","220"
"INDIA YAMAHA MOTOR PVT LTD","1348","1150","1222","1213","1163","1276","1378","1333","203","10286"
"INTERGLOBE ENERGY PVT LTD","0","0","0","0","0","1","0","0","0","1"
"IRA EDUTECH PVT LTD","0","0","0","3","0","0","0","0","0","3"
"ISUZU MOTORS INDIA PVT LTD","0","0","0","1","1","0","0","0","0","2"
"JAGUAR LAND ROVER INDIA LIMITED","35","30","19","25","31","44","37","29","5","255"
"JAIN POWER CORP","2","2","4","0","0","0","4","4","1","17"
"JAISIK BUSINESS LINKS PVT LTD","1","7","5","1","10","5","1","3","1","34"
"JAYATI TOOLS","0","0","0","0","1","0","0","0","0","1"
"JBM AUTO LIMITED","100","1","75","0","21","114","0","0","0","311"
"JBM ELECTRIC VEHICLES PVT LTD","3","4","0","2","0","4","0","0","0","13"
"JCB INDIA LIMITED","0","16","0","1","1","1","0","0","0","19"
"JESSUN TECHNO PVT LTD","0","0","0","0","0","0","0","1","23","24"
"JIANGSU DALONG JIANHAO (IMPORTER: MK FLYING)","0","6","1","1","4","0","1","1","1","15"
"JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD)","0","1","0","0","3","1","0","1","0","6"
"JITENDRA NEW EV-TECH PVT. LTD","1","0","4","0","5","3","5","2","0","20"
"JS MOBILEON PVT LTD","0","0","0","3","1","3","8","3","0","18"
"JSW MG MOTOR INDIA PVT LTD","723","523","708","630","653","697","659","540","98","5231"
"JUPITER ELECTRIC MOBILITY PVT LTD","0","0","0","0","0","1","0","0","0","1"
"KAKKAR ELECTRIC AUTO PVT LTD","0","0","2","4","6","14","4","0","0","30"
"KAPTECH INDIA","6","5","2","4","11","6","5","0","0","39"
"KHALSAE-VEHICLES PVT LTD","0","8","6","1","4","1","7","1","0","28"
"KIA INDIA PRIVATE LIMITED","1646","1189","1303","1298","1238","1103","1170","1056","244","10247"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","5","1","6","73","11","8","3","1","1","109"
"KINETIC WATTS AND VOLTS LTD","0","0","0","0","2","3","1","20","0","26"
"KLB KOMAKI PVT LTD","13","16","7","12","12","13","11","15","0","99"
"KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD)","1","0","0","1","0","0","0","0","0","2"
"LECTRIX E VEHICLES PVT LTD","67","88","125","53","158","116","178","55","13","853"
"LUXUS GREEN MOBILITY PVT LTD","0","0","0","0","1","1","0","1","0","3"
"M.K. ENTERPRISES","4","2","5","1","7","4","8","0","0","31"
"M/S SHRIRAM AUTO TECH PVT LTD","0","1","0","0","0","0","0","0","0","1"
"MAA SHAKTI EXIM PVT LTD","4","0","0","1","13","19","12","17","0","66"
"MAC AUTO INDIA","5","1","0","0","0","0","0","0","0","6"
"MAHINDRA & MAHINDRA LIMITED","2507","1761","2109","1776","1815","1761","1799","1610","315","15453"
"MAHINDRA DEFENCE SYSTEMS LTD","0","0","0","12","0","0","0","0","0","12"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","425","351","598","433","585","655","641","533","112","4333"
"MAHINDRA LAST MILE MOBILITY LTD","20","36","23","27","16","17","13","20","1","173"
"MALI ENTERPRISES PVT LTD","6","10","0","0","0","6","0","0","0","22"
"MARUTI SUZUKI INDIA LTD","9860","5389","6985","6549","7063","7279","6274","6461","951","56811"
"MASERATI S.P.A","0","0","1","0","0","0","0","2","0","3"
"MATTER MOTOR WORKS PVT LTD","14","3","2","6","2","9","0","0","1","37"
"MERCEDES -BENZ AG","9","7","14","13","26","21","18","8","0","116"
"MERCEDES BENZ","0","0","0","0","0","0","0","0","1","1"
"MERCEDES-BENZ INDIA PVT LTD","212","146","106","104","79","127","119","83","19","995"
"MERCURY EV TECH LTD","1","0","0","0","2","0","0","1","0","4"
"MINI METRO EV L.L.P","8","6","11","7","15","7","6","10","1","71"
"MLR AUTO LTD","0","0","1","0","0","0","0","0","0","1"
"MOTOVOLT MOBILITY PVT LTD","86","160","269","0","221","249","203","488","0","1676"
"Maniram Electric Vehicle Pvt Ltd","0","0","2","0","0","1","0","0","0","3"
"NAMDHARI ENTERPRISES","0","0","0","1","6","2","4","0","0","13"
"NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY)","2","2","0","2","0","0","0","1","0","7"
"NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO)","0","0","1","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","60","55","48","83","114","83","93","72","12","620"
"OBEN ELECTRIC VEHICLES PVT LTD","49","39","49","54","32","27","37","14","11","312"
"ODYSSE ELECTRIC VEHICLES PVT LTD","0","0","0","3","3","1","0","0","0","7"
"OKINAWA AUTOTECH PVT LTD","9","0","0","0","1","0","1","2","0","13"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","163","73","151","241","232","252","329","262","0","1703"
"OMEGA SEIKI PVT LTD","340","359","301","209","320","315","279","355","4","2482"
"OPG Mobility and Power Pvt Ltd","2","1","2","2","1","0","4","2","0","14"
"PIAGGIO VEHICLES PVT LTD","107","94","100","88","120","65","112","94","10","790"
"PINNACLE MOBILITY SOLUTIONS PVT LTD","34","23","50","48","59","70","37","57","0","378"
"PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED","40","65","64","83","39","79","85","35","18","508"
"POLARIS INDIA PVT LTD","0","0","0","0","0","0","1","0","0","1"
"PORSCHE AG GERMANY","6","5","3","0","3","5","0","4","0","26"
"PROPUS INC","0","0","1","1","0","1","5","9","3","20"
"PUR ENERGY PVT LTD","0","0","1","0","0","1","1","1","0","4"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","1","4","0","1","4","0","2","3","0","15"
"QUANTUM ENERGY LTD.","120","10","0","33","201","1","0","274","80","719"
"QUCEV TECHNOLOGIES PVT LTD","0","0","0","0","0","0","0","2","0","2"
"RATIRIDE EV MOTORS PVT LTD","0","0","0","0","3","0","1","0","0","4"
"RCJ AUTO FORGE PVT LTD","0","7","3","0","3","7","1","0","0","21"
"RENAULT INDIA PVT LTD","161","86","122","139","152","126","99","82","22","989"
"REVOLT INTELLICORP PVT LTD","18","39","45","31","31","45","29","22","4","264"
"RIVALDO ELECTRIC PVT LTD","0","0","0","0","1","0","1","3","0","5"
"RIVER MOBILITY PVT LTD","57","67","116","92","84","114","225","135","49","939"
"RODA FLEETS PVT LTD","0","0","1","0","7","1","0","0","0","9"
"ROLLS ROYCE","0","0","1","0","0","0","0","0","0","1"
"ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD)","2","2","0","0","0","1","0","0","0","5"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","4690","3221","3211","3401","3149","3204","3280","3391","521","28068"
"ROYCE EV PVT LTD","3","0","1","0","0","1","0","0","0","5"
"RP AUTOMOBILE","0","5","1","0","4","0","0","0","0","10"
"RUTBA PRODUCT PVT LTD","0","0","4","6","22","10","0","0","0","42"
"SAERA ELECTRIC AUTO PVT LTD","14","18","21","15","21","16","16","11","1","133"
"SAHNIANAND E VEHICLES PVT LTD","71","27","46","61","157","116","129","101","4","712"
"SAIFIAN SOLAR PVT LTD","7","0","6","3","4","9","2","0","2","33"
"SAKSHAM TRADING COMPANY","5","4","5","1","5","1","0","0","0","21"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","16","14","15","5","9","6","16","14","0","95"
"SHAKTI AUTO GREEN","10","6","6","3","14","3","8","1","0","51"
"SHIGAN EVOLTZ LTD","0","0","0","26","2","0","0","0","0","28"
"SHRI BARSANA E-VEHICLES PVT LTD","1","4","1","3","6","4","7","2","0","28"
"SHRI NAMO ELECTRIC AUTOMOTIVE","0","32","28","13","6","1","0","0","0","80"
"SIMPLEENERGY PVT LTD","18","17","49","30","31","26","61","37","0","269"
"SKODA AUTO AS","2","0","0","1","0","1","2","0","0","6"
"SKODA AUTO INDIA PVT LTD","0","0","0","0","1","0","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","637","370","499","467","446","376","404","304","65","3568"
"SKS TRADE INDIA PVT LTD","54","53","79","62","40","53","33","33","4","411"
"SML MAHINDRA LTD","17","16","13","22","20","22","21","15","1","147"
"SOKUDO ELECTRIC INDIA PVT LTD","10","22","28","8","8","44","39","6","0","165"
"SPEEGO VEHICLES CO PVT LTD","0","0","1","0","0","1","3","2","0","7"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","72","40","33","40","33","31","32","28","6","315"
"STELLANTIS INDIA PVT LTD","15","6","1","6","5","6","5","4","1","49"
"SUPERTECH EV LIMITED","0","9","26","14","11","5","12","2","2","81"
