"Norms and Month Wise Data for All State (2016-2018)"\n\nNorms,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
BHARAT STAGE I,5101,4972,5186,4520,6329,7571,6224,5730,4398,4763,7153,4947,5389,4546,5442,2880,3136,1660,1256,768,719,578,715,582,358,335,437,476,964,730,633,528,328,234,336,338,100262
BHARAT STAGE II,84088,88776,88721,106210,108544,94657,91741,77736,72910,98405,119474,65801,75310,81381,122500,70468,44288,34069,27464,21459,18618,32728,25552,14375,15094,4033,856,652,650,556,612,463,248,241,185,264,1689129
BHARAT STAGE III,737116,752201,764215,752742,843347,843789,749071,729803,708739,825995,932043,759125,722988,712670,912188,703762,403441,197329,123272,77889,59278,47531,57030,46424,40020,32759,33785,30326,26380,21898,20985,14950,14086,16087,16810,19531,13749605
BHARAT STAGE III/IV,404,447,506,497,472,925,753,656,564,639,688,483,455,454,646,514,547,409,413,253,328,443,478,413,393,237,271,237,280,223,408,452,654,687,587,652,17468
BHARAT STAGE IV,97326,92759,96555,90200,99164,98484,94718,97977,89863,120792,115389,106976,148072,182246,342168,529559,940012,1099226,1174761,1193026,1265173,1624324,1893333,1398558,1658574,1570364,1889972,1843946,2039906,1878895,1948908,1860913,1813951,1921804,2349225,2108755,35875874
BHARAT STAGE VI,87,78,80,59,98,96,62,77,77,115,86,68,94,96,118,88,109,93,87,64,70,62,60,63,86,84,93,101,111,116,111,139,102,137,220,265,3552
Bharat Trem Stage III,778,542,533,490,520,555,433,411,487,707,1411,534,531,601,987,493,397,323,308,273,176,208,220,191,200,131,230,209,179,119,112,174,205,217,148,198,14231
Bharat Trem Stage III A,7247,7331,8232,6290,8037,8663,8147,6492,6479,6335,9356,11737,7733,8583,16402,8753,12888,21723,32697,26513,21865,19318,33726,35253,34791,38272,47776,38408,43885,47805,64915,51835,39527,41070,38952,54721,881757
Bharat Trem Stage III B,96,85,59,29,31,24,20,18,26,32,44,33,30,25,30,36,29,22,19,16,24,28,10,5,6,1,3,0,0,1,1,3,5,2,2,1,796
Bharat Stage III CEV,86,80,81,74,68,83,64,52,71,92,86,117,89,88,135,70,99,88,70,37,58,28,71,57,71,98,173,91,117,201,257,1114,3185,4061,4172,4816,20200
CEV STAGE IV,5,3,3,3,2,3,1,2,1,1,2,2,2,3,3,3,0,0,4,1,6,2,0,2,4,2,1,2,6,4,1,1,0,1,6,1,83
CEV STAGE V,0,1,1,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,0,0,2,0,0,21
EURO 6AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
EURO 1,25560,29972,28654,28987,31498,28017,29179,29281,28046,30027,46703,26415,27482,29534,41783,17158,5742,2845,1660,738,514,653,1009,1221,1066,175,23,30,15,8,28,11,15,16,18,13,494096
EURO 2,98067,99438,104054,122322,122452,101794,97845,79909,77928,102484,140507,69748,85183,91967,157099,61830,30204,23043,11870,6370,4403,5061,5786,4578,2806,743,41,41,43,14,91,32,19,8,11,8,1707799
EURO 3,88830,95858,89307,91013,97858,92799,85480,75170,73421,127750,120948,77434,79738,91574,109238,164794,207702,188049,152797,129956,124223,211305,157076,82149,69660,16114,462,350,229,185,164,91,100,40,34,42,2901940
EURO 4,46310,46188,42920,37827,41673,38398,38132,38146,37775,53543,45647,33699,38253,32558,48148,68801,63133,48660,27514,10370,11014,20413,15270,6830,6613,796,676,273,147,116,93,118,89,76,71,110,900400
EURO 6,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,3,0,1,2,9,4,6,17,4,60
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,4
EURO 6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO 6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO 6D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,6
Not Applicable,0,5,2,3,2,12,5,2,1,5,7,3,6,7,4,19,2,6,1,17,12,12,7,1,3,5,3,1,1,2,4,5,6,7,4,20,202
Not Available,615994,605736,613748,564972,572849,586895,567553,590611,605180,700540,684139,459799,521320,499450,597186,389358,387510,407630,348019,345146,358013,388155,371589,276794,362916,325904,315456,310848,297979,245305,191797,119090,143285,122523,104867,94470,14692626
TREM STAGE IV,54,69,56,60,56,69,55,80,48,51,73,59,81,75,126,117,126,111,75,87,90,114,258,1098,320,188,128,116,74,44,39,82,44,53,54,60,4290
TREM STAGE V,1,2,1,2,0,0,3,1,0,2,3,0,0,1,0,1,1,0,1,0,0,0,4,5,8,4,3,2,5,3,1,15,11,4,3,3,90
Total,1807150,1824544,1842914,1806302,1933000,1902835,1769486,1732155,1706014,2072278,2223763,1616982,1712756,1735861,2354205,2018704,2099366,2025286,1902288,1812983,1864584,2350964,2562195,1868600,2192990,1990248,2290394,2226113,2410972,2196230,2229168,2050028,2015864,2107276,2515722,2284272,73054492
