"Vehicle Type and Month Wise Data for All State (2016-2018)"\n\nVehicle Type,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
commercial,140556,150062,162505,141362,147596,155170,135646,138726,144816,155361,142324,117408,125944,134696,204846,146192,122588,128441,130396,131895,145136,157672,188491,160959,192704,186299,203365,193308,186379,177659,185972,178321,183984,201102,191434,188504,5777819
private,1666594,1674482,1680409,1664940,1785404,1747665,1633840,1593429,1561198,1916917,2081439,1499574,1586812,1601165,2149359,1872512,1976778,1896845,1771892,1681088,1719448,2193292,2373704,1707641,2000286,1803949,2087029,2032805,2224593,2018571,2043196,1871707,1831880,1906174,2324288,2095768,67276673
Total,1807150,1824544,1842914,1806302,1933000,1902835,1769486,1732155,1706014,2072278,2223763,1616982,1712756,1735861,2354205,2018704,2099366,2025286,1902288,1812983,1864584,2350964,2562195,1868600,2192990,1990248,2290394,2226113,2410972,2196230,2229168,2050028,2015864,2107276,2515722,2284272,73054492
