"Maker and Month Wise Data for Puducherry (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"PUR ENERGY PVT LTD","0","0","2","2","1","19","14","11","5","54"
"QUANTUM ENERGY LTD.","1","3","4","0","8","7","6","1","1","31"
"RENAULT INDIA PVT LTD","36","29","30","25","28","26","23","26","8","231"
"RILOX EV PVT LTD","0","0","1","1","1","1","1","0","1","6"
"RIVER MOBILITY PVT LTD","0","1","4","2","1","5","2","2","0","17"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","436","267","241","240","263","340","356","370","71","2584"
"SHIGAN EVOLTZ LTD","1","0","0","0","0","1","0","0","0","2"
"SIMPLEENERGY PVT LTD","0","1","0","0","2","24","23","13","0","63"
"SKODA AUTO AS","0","0","0","1","0","0","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","102","76","86","92","99","84","82","67","17","705"
"SML MAHINDRA LTD","7","7","5","10","4","24","19","16","3","95"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","21","14","10","12","10","14","8","10","1","100"
"STELLANTIS INDIA PVT LTD","2","0","0","2","1","2","4","1","0","12"
"SUZUKI MOTORCYCLE INDIA PVT LTD","1255","1009","842","849","932","1071","1078","913","129","8078"
"TAFE LIMITED","1","1","0","1","0","0","0","1","0","4"
"TATA MOTORS LTD","15","24","16","16","27","22","19","14","10","163"
"TATA MOTORS PASSENGER VEHICLES LTD","129","125","175","149","147","178","137","151","25","1216"
"TATA PASSENGER ELECTRIC MOBILITY LTD","1","2","4","5","7","10","3","10","2","44"
"TIVOLT ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","1","1","0","0","2"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","130","145","152","127","129","164","142","124","19","1132"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","1","1","1","1","0","4"
"TVS MOTOR COMPANY LTD","2183","1640","1830","1559","1377","1729","1918","1642","291","14169"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","1","2","5","1","1","1","6","3","0","20"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","0","0","1","0","0","0","1"
"VE COMMERCIAL VEHICLES LTD","3","8","1","3","6","8","9","3","1","42"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","2","0","0","0","0","0","0","0","0","2"
"VINFAST AUTO INDIA PVT LTD","1","0","0","1","1","0","0","0","0","3"
"VOLKSWAGEN AG","0","0","0","0","0","2","0","0","0","2"
"VOLVO AUTO INDIA PVT LTD","3","0","3","0","2","2","1","3","0","14"
"VORC MOTORS PVT LTD","4","3","4","2","1","1","4","2","2","23"
"WARDWIZARD INNOVATIONS & MOBILITY LIMITED","4","1","2","2","0","1","1","0","0","11"
"ZENMO PRIVATE LIMITED","0","0","0","0","0","0","1","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","1","0","0","0","1"
