"Maker and Month Wise Data for Maharashtra (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"NIKHIL AGRO ENTERPRISE","0","1","2","0","0","0","0","0","0","0","0","0","3"
"NISSAN MOTOR INDIA PVT LTD","95","187","224","123","26","186","328","381","197","250","190","258","2445"
"NK INDUSTRIES","3","11","5","0","0","0","0","0","0","0","0","0","19"
"ODYSSE ELECTRIC VEHICLES PVT LTD","1","5","1","3","0","1","5","14","1","6","11","3","51"
"OGATA MOTORS INDIA PVT LTD","8","0","0","0","0","0","0","0","0","1","14","0","23"
"OIL FIELD WAREHOUSE AND SERVICE LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"OKINAWA AUTOTECH PVT LTD","106","135","186","93","31","197","354","348","365","481","766","919","3981"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","102","102"
"OLECTRA GREENTECH LTD","0","0","0","0","0","0","0","0","2","0","3","54","59"
"OM PACKAGING","0","1","0","0","0","0","0","0","0","0","0","0","1"
"OMEGA CONSTRUCTION EQUIPMENT PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"OMEGA SEIKI PVT LTD","0","0","0","0","0","0","0","0","1","0","1","2","4"
"OTHERS","988","14","4","2","0","0","0","3","0","0","0","0","1011"
"P B NATIONAL AGRICULTURE WORKS","0","0","1","0","0","0","0","0","0","1","0","0","2"
"PACE AGRO PRIVATE LIMITED","1","0","10","0","0","0","0","0","0","0","0","0","11"
"PANESAR AGRO TECH","0","1","0","0","0","0","0","0","0","0","0","0","1"
"PARAG AGRO","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PARAS INDUSTRIES","1","0","1","2","0","0","0","0","3","2","1","5","15"
"PIAGGIO VEHICLES PVT LTD","1428","1419","1352","534","191","620","1262","1175","1112","1378","1580","1131","13182"
"PODDAR INDUSTRIES","0","0","2","0","0","0","0","0","0","2","1","0","5"
"POLARIS INDIA PVT LTD","1","1","0","0","0","1","0","0","1","0","0","0","4"
"PORSCHE AG GERMANY","6","3","7","1","2","1","11","8","8","4","4","15","70"
"PRAGATI AGRICULTURE","0","0","1","0","0","0","0","0","0","0","0","0","1"
"PRAGATI ENGINEERING","0","0","5","2","0","0","0","0","4","0","1","0","12"
"PRAKASH TRAILER","0","0","0","0","0","0","0","0","2","0","0","0","2"
"PREET AGRO INDUSTRIES PVT LTD","7","4","11","3","0","2","8","1","2","7","3","3","51"
"PREET TRACTORS PVT LTD","5","4","10","1","0","6","4","5","6","13","7","8","69"
"PUR ENERGY PVT LTD","37","49","132","48","21","94","161","129","155","252","271","292","1641"
"PUSHKAR INDUSTRIES","2","8","12","3","0","6","4","10","3","3","5","8","64"
"PVT MAKER","0","1","0","0","0","0","0","0","0","0","0","0","1"
"QUALITY ENGINEERING WORK","0","0","1","0","0","0","0","0","0","0","0","0","1"
"R.K.TRAILORS","0","0","1","0","0","0","0","1","0","0","0","0","2"
"RADHESHYAM TRAILOR","12","18","0","16","0","2","32","1","20","19","1","34","155"
"RAJESH STEEL AND WIRE INDUSTRIES","7","4","3","0","0","0","2","1","1","1","0","6","25"
"RAM CHAND & SONS","0","0","0","0","0","0","0","1","4","2","1","0","8"
"RAMJI AGRO INDUSTRIES","0","0","0","0","0","1","0","0","0","0","0","0","1"
