"Vehicle Class and Month Wise Data for All State (2019-2021)"\n\nVehicle Class,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
Adapted Vehicle,1158,1939,2066,997,844,834,1019,784,756,829,799,692,921,1554,3943,741,62,212,794,322,765,654,618,1269,1049,985,1176,752,172,519,1992,1081,1241,1509,1119,886,37053
Agricultural Tractor,56737,49458,52770,39351,41923,45426,60328,55517,38124,36206,47151,54025,58579,51536,56687,5644,10213,49897,85625,73114,74116,59390,56575,75474,67831,66447,75120,39041,16585,58245,92312,77811,58709,47912,51207,70358,1955444
Ambulance,561,1038,1116,776,848,953,1332,1001,1003,933,800,969,789,809,2009,292,44,127,363,549,967,737,844,759,633,879,678,887,982,1525,1912,1758,1843,1637,1100,1121,34574
Animal Ambulance,3,1,5,5,2,2,11,7,24,4,1,4,6,7,8,8,87,147,1,131,84,1,3,10,3,3,10,2,4,4,8,4,3,9,5,5,622
Armoured/Specialised Vehicle,0,0,2,0,1,0,0,1,1,4,5,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,40,15,6,30,0,110
Articulated Vehicle,2183,2193,3470,2137,1458,1134,1328,1130,946,1133,880,923,1076,1588,2166,141,3,5,61,116,231,247,309,526,671,812,991,1010,314,558,796,794,1010,1019,867,1055,35281
Auxiliary Trailer,54,92,5,12,5,2,2,0,1,0,0,0,6,4,9,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,209
Breakdown Van,6,11,30,15,5,6,19,32,7,11,4,3,4,4,3,0,0,0,0,0,1,2,2,0,0,1,2,4,4,2,1,1,3,1,0,0,184
Bulldozer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bus,3868,4004,4839,5028,5448,5185,5218,4445,3879,4555,4150,3897,5053,6666,13730,3236,6,47,120,187,501,405,483,463,774,924,1158,1053,476,859,949,826,863,946,735,1433,96409
Camper Van / Trailer,174,119,78,94,68,40,40,47,50,71,71,56,74,76,80,29,3,12,30,29,31,13,14,30,15,16,43,19,16,24,29,49,32,28,26,30,1656
Camper Van / Trailer (Private Use),27,27,38,46,34,41,30,39,20,24,47,26,42,41,72,16,0,8,9,13,31,25,24,31,15,15,31,32,6,14,20,54,57,34,48,30,1067
Cash Van,10,29,28,91,100,29,80,38,66,66,43,28,144,271,229,37,0,4,0,4,5,2,67,86,22,31,73,54,29,91,17,71,215,93,58,228,2439
Construction Equipment Vehicle,2529,2686,3303,2451,2252,1910,2182,1781,1554,1839,2278,2176,2300,2636,3413,497,362,1773,2192,2310,3135,2658,2818,3310,3351,3765,5073,2632,833,1617,2461,2334,3084,2397,2125,1974,85991
Construction Equipment Vehicle (Commercial),70,108,151,59,52,50,55,39,40,56,64,54,54,75,95,29,11,34,18,20,109,135,151,414,277,351,461,184,70,225,224,285,489,295,387,610,5801
Crane Mounted Vehicle,578,572,648,534,549,555,602,562,490,502,575,479,535,590,674,139,29,207,352,364,483,437,412,522,577,584,846,452,188,490,533,506,577,443,471,537,17594
Dumper,1066,1208,1288,788,810,625,574,578,597,638,857,734,868,1198,2184,262,1,16,91,154,368,517,622,913,999,919,1126,713,225,529,490,495,674,733,686,756,25302
Earth Moving Equipment,1008,854,1015,885,960,828,902,825,752,818,1101,910,1014,1144,1265,284,126,783,881,809,1167,983,825,1106,954,1118,1697,919,183,451,618,552,931,575,596,568,30407
Educational Institution Bus,880,980,1653,1909,3196,4444,3783,2799,1873,1175,1081,989,995,1605,4674,1272,2,11,26,31,130,72,83,73,113,117,161,118,32,130,99,115,154,220,281,456,35732
Excavator (Commercial),622,529,546,366,396,353,409,355,371,428,524,499,453,589,667,157,73,209,263,269,499,335,377,502,488,446,639,296,87,218,214,158,191,130,109,93,12860
Excavator (NT),1021,1030,1047,903,876,742,836,606,500,698,809,820,797,850,855,111,77,329,525,452,697,693,654,931,940,977,1202,372,122,383,399,395,639,571,584,565,24008
Fire Fighting Vehicle,22,34,33,48,45,70,104,50,34,29,36,25,47,38,136,30,0,0,1,2,4,9,0,3,7,6,20,43,12,21,18,12,15,10,7,13,984
Fire Tenders,5,13,17,30,25,17,18,19,16,24,18,27,18,23,113,54,0,0,0,0,11,4,2,3,4,2,6,12,9,4,23,7,10,11,11,10,566
Fork Lift,143,115,131,115,115,118,143,77,82,83,144,101,96,99,127,12,5,37,74,77,92,88,88,143,111,141,154,110,69,147,130,111,173,157,136,123,3867
Goods Carrier,78691,77290,85242,74452,69293,58817,63044,57172,55277,60791,70573,56695,70923,78305,101846,16715,723,9682,18949,26365,39253,45036,51088,51275,55658,57852,65477,49589,16302,34761,50597,51930,56002,55806,57126,56581,1925178
Harvester,626,618,1051,679,493,432,371,377,495,671,738,756,859,1410,2138,160,134,761,780,1002,1787,1463,984,1487,1554,1839,2309,938,309,1248,1331,1283,1453,1211,684,899,35330
Hearses,14,11,5,10,15,10,10,7,10,6,6,12,15,24,101,12,2,0,2,4,8,16,14,10,6,6,15,8,6,13,17,17,28,8,13,14,475
Library Van,0,0,0,1,1,1,2,5,1,3,2,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,26
Luxury Cab,962,675,674,304,198,215,422,606,997,344,632,464,465,651,648,59,1,205,336,129,271,129,108,84,117,129,151,80,27,34,69,54,49,34,143,169,10635
M-Cycle/Scooter,1559307,1432843,1585643,1519730,1618872,1516137,1588200,1401827,1279640,1627305,2001323,1445467,1448273,1474093,2196426,399240,192601,911189,1017648,1057117,1193663,1228563,1643162,1636049,1372354,1253681,1359495,969802,455204,1080553,1297041,1109672,1039660,1135856,1601726,1308897,46958259
M-Cycle/Scooter-With Side Car,1610,1307,1530,1432,1673,1834,1666,1211,1422,1862,2597,1674,1489,1422,2979,301,163,870,1033,1171,957,1067,1875,1084,1021,1008,1087,822,471,871,1016,939,801,988,1950,912,46115
Maxi Cab,2773,3017,3162,2945,3193,2726,3094,2775,2342,2337,2285,2111,2596,2544,2904,737,60,190,244,260,474,529,559,598,581,606,678,424,147,402,487,484,542,508,536,550,50400
Mobile Canteen,2,0,1,0,1,3,0,0,2,0,1,2,3,2,7,1,0,0,0,0,5,2,1,2,8431,635,18,5,7,3,3,2,4,2,1,8,9154
Mobile Clinic,2,5,3,8,9,24,15,4,3,2,27,7,14,23,51,33,0,0,0,2,7,2,4,6,5,6,9,6,17,1,3,11,16,11,14,12,362
Mobile Workshop,6,9,2,22,7,5,7,7,9,3,6,1,1,2,19,9,0,0,1,2,2,1,4,1,2,4,27,6,0,24,3,2,4,3,2,4,207
Modular Hydraulic Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Moped,49350,43846,47135,42717,44573,40520,46389,37994,34617,42091,49672,42113,43475,45332,61840,13875,6521,26596,28651,35239,37280,34024,40395,39030,32517,31272,31448,22674,9307,22088,34062,29972,28873,29710,35965,31503,1272666
Motor Cab,11726,12834,12816,10797,12494,10537,12315,11614,10684,11884,12905,10658,15007,12397,10798,1084,448,2052,2620,2598,3458,3313,3746,3527,4278,4573,5761,3760,1258,2823,4722,4276,4319,3631,4327,5205,251245
Motor Car,321006,239722,254270,246953,247617,216465,222253,199334,183861,286638,300681,231764,311008,243854,235477,23268,33989,138374,176199,202088,224752,280078,332360,309766,320757,284811,316047,231258,94318,212756,293145,283770,263180,253445,269878,271075,8556217
Motor Caravan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motor Cycle/Scooter-SideCar(T),49,22,22,16,15,10,15,223,10,42,12,16,17,33,58,11,1,1,1,6,7,5,9,3,8,8,16,21,5,3,1,6,5,7,11,7,702
Motor Cycle/Scooter-Used For Hire,1457,1371,2772,2971,901,1751,838,1633,1503,1895,1348,1236,1712,993,1328,179,35,99,98,90,125,575,530,748,872,763,1177,486,16,120,285,344,690,922,782,1711,34356
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Motorised Cycle (CC 25cc),30054,26108,27151,26023,27544,25431,30970,25845,24420,26380,34918,26387,23295,22682,28081,2943,2136,13208,15482,14703,15574,16474,23225,22295,16339,17272,20308,11616,6340,12352,15978,14303,13401,14375,21173,15126,709912
Omni Bus,430,331,361,363,307,237,405,316,254,237,255,290,267,240,475,111,2,5,8,48,80,61,38,40,44,65,61,46,16,64,72,56,43,79,40,57,5804
Omni Bus (Private Use),2695,2542,2732,2337,2194,1873,1742,1277,991,1148,1464,1086,1189,1171,1418,299,82,233,364,357,639,588,779,703,588,656,765,527,220,411,559,831,535,490,640,542,36667
Power Tiller,10,8,8,6,11,18,10,3,9,9,4,6,6,2,4,1,1,0,0,2,2,8,7,7,4,6,4,0,0,0,2,1,5,0,0,1,165
Power Tiller (Commercial),1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Private Service Vehicle,168,231,350,245,319,266,258,219,211,180,241,189,192,166,560,54,3,7,37,64,148,109,144,95,116,148,190,112,68,82,138,152,211,152,148,176,6149
Private Service Vehicle (Individual Use),490,338,519,258,214,213,182,185,176,198,196,170,234,180,270,24,41,55,56,61,104,101,86,103,71,77,107,92,46,57,116,142,143,86,88,76,5555
Puller Tractor,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quadricycle (Commercial),0,0,0,18,39,48,50,46,38,68,46,26,52,32,55,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,549
Quadricycle (Private),2,0,3,6,24,26,30,38,28,27,14,20,13,9,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,267
Recovery Vehicle,27,36,35,36,48,70,25,16,15,22,18,26,21,20,43,13,0,3,5,3,9,10,10,14,11,7,12,12,2,4,10,9,11,10,5,8,626
Road Roller,38,36,44,33,29,35,57,31,49,14,27,35,27,32,51,9,2,23,24,36,20,15,29,31,28,40,47,16,4,18,18,21,47,47,33,26,1072
School Bus,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Semi-Trailer (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4
Snorked Ladders,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10
Three Wheeler (Goods),11463,11030,11723,10069,10518,9511,10670,8978,9244,11513,12728,10493,11631,13165,20381,3629,503,3334,3979,5017,6981,7223,8032,7780,8275,8164,9697,6136,1630,5037,8054,7794,8138,8354,8397,8059,307330
Three Wheeler (Passenger),46063,46357,48289,40337,42460,40809,50156,46324,45735,54441,54488,44768,51327,52843,61028,8871,1267,6080,7483,8384,13123,12595,12609,14391,17488,18115,19906,11544,2584,6141,12578,14366,17245,18779,19652,18159,986785
Three Wheeler (Personal),153,129,170,130,183,169,157,146,139,165,151,130,107,120,141,7,15,29,31,48,76,66,49,55,51,60,74,47,13,13,51,67,76,62,65,74,3219
Tow Truck,17,4,7,9,12,9,7,10,12,4,5,7,13,15,17,8,0,0,1,0,2,5,5,4,7,6,2,8,1,1,4,10,12,7,6,4,241
Tower Wagon,0,1,3,4,3,2,4,1,2,1,2,3,2,3,2,0,0,0,0,1,1,1,0,1,0,10,0,4,1,1,1,2,2,1,2,2,63
Tractor (Commercial),10276,10333,10651,6642,6715,6993,9491,8011,7800,8364,9727,10295,9768,11677,15179,747,2512,11134,12663,11209,13749,11582,10604,13144,9968,10737,11685,6648,3339,8201,10154,8239,7174,7595,7625,8254,328885
Tractor-Trolley(Commercial),249,286,257,315,334,296,345,280,337,384,393,423,607,574,592,38,35,257,553,536,797,491,397,491,446,136,179,138,30,97,130,133,192,133,159,200,11240
Trailer (Agricultural),4441,5340,5332,3932,4086,3603,3892,3363,3295,3991,4496,4647,4924,5375,6174,217,1503,4681,5326,4793,6722,7158,6516,6442,5798,6496,7837,4021,906,2969,5289,5358,6218,6223,4617,5594,171575
Trailer (Commercial),5086,5762,5575,3126,3118,2482,3373,2962,2847,3581,4175,4446,4099,4770,5427,203,790,3342,3408,3500,5086,3555,3878,4487,3954,4824,5304,3062,943,2302,2674,3094,3037,2733,2902,3521,127428
Trailer For Personal Use,0,0,0,3,2,0,1,1,0,0,0,2,1,2,4,0,0,1,2,0,3,1,1,4,5,0,1,0,0,2,3,3,3,1,1,1,48
Tree Trimming Vehicle,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Vehicle Fitted With Compressor,76,64,116,89,73,69,68,43,41,51,68,61,110,87,96,23,0,13,16,11,27,18,23,26,33,38,44,29,6,11,25,30,31,21,22,12,1571
Vehicle Fitted With Generator,15,16,21,14,15,13,11,15,6,16,15,11,6,30,36,5,0,1,4,3,4,7,6,8,5,6,11,5,4,0,11,7,4,4,8,15,358
Vehicle Fitted With Rig,136,189,342,189,109,136,133,205,131,166,135,155,211,193,239,28,0,2,6,3,26,18,30,31,51,28,40,21,3,22,14,5,17,11,16,16,3057
Vintage Motor Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
X-Ray Van,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
e-Rickshaw with Cart (G),419,315,319,375,397,360,335,360,395,479,708,611,626,510,370,63,30,347,487,652,670,711,722,907,702,2222,2741,773,125,762,1221,1005,1256,1252,1101,1491,25819
e-Rickshaw(P),10060,8469,8619,7551,7848,8868,10380,11096,13817,12722,14755,13827,12735,12970,10141,807,591,4247,5350,5233,7095,7131,7662,9211,10044,10062,11813,6925,1786,5431,10173,11543,14812,16406,16564,21433,348177
Total,2222676,1998536,2191240,2061787,2165970,2014388,2140412,1895293,1732052,2210163,2643276,1978527,2091192,2059358,2860577,486801,255295,1190879,1393274,1459696,1656419,1730140,2214662,2210509,1951032,1794908,1965210,1380369,615879,1465735,1853306,1637394,1539169,1617701,2117010,1841259,64642094
