"Vehicle Class and Month Wise Data for All State (2016-2018)"\n\nVehicle Class,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
Adapted Vehicle,629,954,797,799,733,761,800,620,647,719,643,888,719,863,1456,1184,1113,1077,967,781,898,1240,1862,1414,1292,1042,1766,1423,1391,2299,2206,1152,1101,1282,901,1113,39532
Agricultural Tractor,34443,34639,36389,29875,36952,38652,35792,30130,28767,32223,39768,43047,30976,33823,56477,24980,33793,48066,58743,42250,35559,32647,51719,50571,43937,43959,52499,43018,46046,47948,63401,48012,38667,42848,41170,56338,1488124
Ambulance,899,988,1041,746,855,805,759,895,866,844,996,925,936,761,1455,1264,1213,727,717,715,695,679,815,827,873,680,862,735,666,644,624,445,359,394,767,542,29014
Animal Ambulance,1,4,1,4,4,2,1,1,4,4,2,4,2,2,4,2,2,2,0,1,2,1,3,0,2,2,3,7,3,4,4,0,0,5,2,2,87
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
Articulated Vehicle,1786,2226,2846,1913,1808,2312,1185,984,1556,2003,1759,1291,1198,1528,4168,1724,887,1706,1447,1562,2976,2036,1650,2080,3404,3297,4207,2804,1541,1297,1805,2082,2221,2953,2283,1597,74122
Auxiliary Trailer,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,7,22,91,121,139,11,40,202,151,209,194,118,115,144,135,103,128,97,137,299,2470
Breakdown Van,1,2,6,2,3,3,4,3,7,5,2,5,1,2,4,5,3,10,4,2,10,4,21,5,10,2,4,4,7,5,5,5,8,5,9,7,185
Bulldozer,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,2,1,0,0,14
Bus,3993,4451,5266,5233,6034,6841,5601,5710,5751,5736,4276,4832,4292,4159,9094,6263,5225,6116,4965,4046,4556,3785,3958,3556,3666,3529,4102,4706,4779,5811,5026,4304,4053,4381,3702,3463,175261
Camper Van / Trailer,15,16,19,16,17,17,19,15,12,18,11,8,21,38,63,86,164,88,101,58,75,66,116,148,146,91,92,127,89,76,124,77,101,147,105,197,2579
Camper Van / Trailer (Private Use),22,38,33,27,35,42,46,36,34,35,35,32,42,24,44,24,36,114,328,29,224,76,56,37,27,48,45,43,37,41,24,28,35,25,41,27,1870
Cash Van,40,20,33,33,34,26,40,36,39,36,16,12,19,12,16,24,17,5,12,22,22,16,16,10,29,31,15,24,23,15,44,17,10,7,33,20,824
Construction Equipment Vehicle,698,618,778,644,761,846,760,739,744,739,774,764,803,690,1242,793,789,964,1067,844,931,989,1390,1415,1464,1798,2360,2109,2179,1811,2193,1922,2024,2586,2601,2396,46225
Construction Equipment Vehicle (Commercial),28,53,44,38,47,29,14,17,18,28,38,38,31,33,67,30,39,38,49,27,46,25,45,40,48,81,48,55,42,40,43,48,42,62,62,68,1501
Crane Mounted Vehicle,306,289,316,279,361,326,329,312,352,329,350,329,325,257,492,297,333,396,334,301,351,280,381,389,398,416,402,379,391,377,381,429,437,435,422,621,13102
Dumper,374,482,496,350,345,271,190,241,367,422,452,425,416,589,1007,687,460,265,351,288,359,393,582,758,869,822,978,783,831,659,831,689,646,994,1157,1060,20889
Earth Moving Equipment,822,948,1141,946,924,953,943,853,907,848,955,820,783,854,1402,849,837,1203,1173,1104,1006,787,1132,1040,1213,1382,1352,1395,1395,1274,1373,939,898,899,850,990,37190
Educational Institution Bus,533,708,1157,1239,2246,4155,2640,2004,1498,964,754,677,688,683,1629,1655,2523,4177,2804,2171,1492,938,943,769,841,942,1491,1938,3612,4756,4020,2836,1952,1546,972,993,64946
Excavator (Commercial),373,422,487,373,451,400,344,294,329,366,448,406,457,458,715,426,398,467,475,340,236,279,420,522,599,612,683,663,638,479,468,336,418,474,487,546,16289
Excavator (NT),605,506,526,444,473,489,445,408,430,518,606,662,535,515,786,560,570,586,777,521,509,533,805,886,868,901,1027,906,962,883,891,595,557,672,787,877,23621
Fire Fighting Vehicle,17,56,59,24,25,41,28,24,22,50,16,27,20,18,30,21,21,39,21,13,11,21,67,19,29,42,34,47,24,29,20,27,44,31,39,21,1077
Fire Tenders,18,1,9,8,16,8,3,1,3,3,5,3,4,7,22,3,5,9,10,64,5,9,5,13,8,26,36,30,12,15,19,12,12,27,31,15,477
