"Norms and Month Wise Data for All State (2022-2024)"\n\nNorms,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
BHARAT STAGE I,35,21,61,14,31,17,12,13,10,7,4,10,1,4,5,5,12,1,0,5,4,3,4,7,15,8,18,16,3,3,4,2,0,2,3,3,363
BHARAT STAGE II,32,66,85,45,43,60,77,62,82,33,31,78,68,25,24,14,22,7,15,14,25,13,22,8,8,28,26,19,9,76,6,18,8,27,24,151,1351
BHARAT STAGE III,11890,10052,13596,6686,11882,12407,14866,14552,5139,1532,1499,1097,642,559,574,492,377,903,432,345,384,355,375,352,370,381,482,396,446,367,395,419,367,369,331,338,115649
BHARAT STAGE III/IV,8,19,19,7,6,10,1,6,3,7,5,5,4,20,7,6,5,4,6,1,2,2,3,2,5,12,3,1,8,4,5,19,11,7,11,15,259
BHARAT STAGE IV,1875,1617,2225,1608,1982,1731,1369,1435,757,557,681,616,480,457,581,430,271,302,238,393,344,317,270,280,254,310,385,273,284,240,282,226,214,268,248,257,24057
BHARAT STAGE VI,1562021,1477331,1696959,1725073,1759679,1619740,1516746,1579037,1473274,2186872,2294307,1525190,1744294,1680109,1904002,1632701,1865567,1743977,1642234,1709588,1780748,2003105,2748505,1861990,1991895,1898910,1915357,2112610,1961036,1764373,1865873,1750150,1574697,2647915,3056279,1587490,66859634
Bharat Trem Stage III,219,244,335,132,159,96,80,116,127,59,83,179,116,86,149,65,71,220,42,25,52,47,46,31,20,35,22,20,16,16,16,20,8,15,5,7,2979
Bharat Trem Stage III A,57877,53264,67398,50752,55125,60999,62877,51866,58723,60234,80930,81192,75160,71746,84053,58197,72908,100704,92795,75278,55638,63087,62647,79282,88700,76809,77931,56228,70064,72011,80504,65017,62305,64069,80475,98786,2525631
Bharat Trem Stage III B,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,2,1,1,2,1,0,0,0,1,0,0,1,0,0,1,18
Bharat Stage III CEV,1552,1656,2159,1872,1666,1874,1688,1507,1689,2020,2291,2066,2118,2322,2731,2355,2422,2255,1991,2177,2470,2700,2740,2639,2829,3047,3167,2714,2450,2208,2134,1934,2084,3142,2464,2672,81805
CEV STAGE IV,2195,2108,2494,2347,2144,2136,1846,1660,2102,2399,2600,2614,2575,3107,3498,3107,3035,2705,2603,2873,3277,3581,3734,3538,3947,4114,4399,4157,3602,3049,2944,2817,3158,4827,3970,4123,109385
CEV STAGE V,91,102,126,102,97,104,82,73,72,61,118,109,128,103,100,115,96,84,78,84,97,116,97,99,121,137,125,134,109,136,130,159,175,198,152,190,4100
EURO 6AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO 1,1,3,4,2,1,0,2,5,1,4,2,3,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37
EURO 2,15,10,19,13,23,24,23,19,20,15,12,12,10,23,14,19,17,4,7,4,2,4,5,8,1,7,8,6,4,1,5,3,2,1,4,2,366
EURO 3,7,42,39,26,20,31,19,31,36,23,19,9,15,33,25,13,22,12,9,2,8,12,22,9,8,36,12,25,9,11,15,11,15,16,9,9,660
EURO 4,0,3,3,0,3,0,3,3,2,1,3,2,2,0,3,1,0,0,2,1,1,3,2,0,2,0,0,0,0,0,2,2,0,0,1,1,46
EURO 6,3,6,3,2,0,3,9,5,8,0,9,9,8,3,6,5,55,67,92,68,81,128,70,24,34,2,4,53,23,74,66,61,61,54,25,25,1146
EURO 6A,2,5,7,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
EURO 6B,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
EURO 6D,0,1,0,1,0,1,0,3,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
Not Applicable,0,2,3,1,3,2,2,0,3,1,2,3,3,1,1,3,5,5,0,4,0,1,3,5,12,1,4,1,0,3,3,2,2,0,0,0,81
Not Available,60346,68835,96049,87109,79108,86170,90576,97824,106053,127867,134455,117043,113393,118244,152693,122496,171634,112267,126322,137343,137701,150597,164655,155061,157359,156446,230370,124220,151354,151511,194351,167124,171842,232931,208374,155065,4914788
TREM STAGE IV,11,12,11,25,55,42,75,90,80,98,145,162,160,214,316,327,487,950,555,770,1116,1401,1347,1755,2103,2417,2896,2177,2247,1853,1959,2167,2280,2535,2362,2737,37937
TREM STAGE V,0,0,1,0,1,0,0,1,1,2,6,7,17,18,11,8,6,7,3,4,2,26,33,32,26,29,32,29,71,32,17,18,19,29,101,35,624
Total,1698180,1615400,1881596,1875818,1912030,1785447,1690354,1748308,1648185,2381792,2517204,1730407,1939195,1877076,2148796,1820361,2117013,1964476,1867426,1928980,1981955,2225500,2984581,2105124,2247712,2142731,2235241,2303079,2191735,1995969,2148711,1990170,1817250,2956405,3354838,1851910,74680955
