"Maker and Month Wise Data for Uttar Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"RANA ENGINEER WORKS","10","12","10","9","30","34","36","40","14","195"
"RASANDIK ENGINEERING INDUSTRIES INDIA LTD","1","2","0","0","2","0","0","2","0","7"
"RATIRIDE EV MOTORS PVT LTD","0","0","0","43","57","47","37","47","10","241"
"RAVINDRA AGRO WORKS","4","0","0","0","0","0","1","3","0","8"
"RAYON ENGINEERS","17","8","25","15","14","15","22","10","0","126"
"RCJ AUTO FORGE PVT LTD","7","4","10","3","7","10","7","1","0","49"
"REDDY AUTOMOTIVE PVT LTD","0","1","0","0","0","0","0","0","0","1"
"RENAULT INDIA PVT LTD","607","487","459","605","486","439","366","310","41","3800"
"REPUBLIC MOTORS","3","1","2","7","3","4","6","5","5","36"
"REVOLT INTELLICORP PVT LTD","94","63","150","98","86","98","124","125","6","844"
"RGM BUSINESS PLUS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"RIBAND ELECTRIC PVT LTD","13","18","23","23","38","41","51","41","4","252"
"RICHFORD ALLIANZ PVT LTD","52","42","61","37","66","64","52","41","6","421"
"RIVER MOBILITY PVT LTD","0","0","0","1","1","0","0","1","0","3"
"ROANSOME MOTORS","3","3","2","0","7","0","4","4","1","24"
"ROARLEO MOTOR PVT LTD","5","0","1","1","4","1","0","2","0","14"
"RODA FLEETS PVT LTD","0","0","0","1","0","0","1","1","0","3"
"ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD)","0","0","0","0","1","1","0","0","0","2"
"ROOPRAI AGRO INDUSTRIES","0","3","1","1","1","0","4","1","0","11"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","14967","14535","14234","16183","13767","12747","10610","9146","1439","107628"
"ROYCE EV PVT LTD","5","0","1","1","1","1","1","0","0","10"
"RP AUTOMOBILE","0","0","0","0","0","0","2","1","0","3"
"RUN STAR ENGINEERING","0","0","1","2","0","0","0","0","0","3"
"RUPAL AGRO INDUSTRIES","2","2","4","0","1","1","2","1","0","13"
"RUTBA PRODUCT PVT LTD","14","5","14","27","12","12","18","12","2","116"
"S AND J INDUSTRIES","3","1","0","0","4","2","2","0","0","12"
"S E ASIA CO","0","0","4","4","2","1","8","0","0","19"
"S S GLOBAL","6","9","2","5","15","0","12","0","0","49"
"S S INDUSTRY","69","65","63","46","68","82","72","73","9","547"
"S.M ELECTRIC VEHICLE","9","7","7","6","6","12","10","5","0","62"
"S.S. AGRO TECH","0","0","0","1","0","0","1","0","0","2"
"SAERA ELECTRIC AUTO PVT LTD","437","427","420","393","461","452","547","570","70","3777"
"SAHNIANAND E VEHICLES PVT LTD","251","231","234","240","291","243","326","234","26","2076"
"SAIF AUTO LTD","1","2","0","7","0","7","10","14","2","43"
"SAIFIAN SOLAR PVT LTD","0","0","0","1","0","0","0","0","0","1"
"SAKSHAM TECH AUTOMOBILES","1","5","2","1","1","2","3","1","1","17"
"SAKSHAM TRADING COMPANY","32","17","22","22","22","21","26","17","5","184"
"SALAAR ENTERPRISES","5","0","0","1","2","3","1","5","3","20"
"SAME DEUTZ - FAHR INDIA (P) LTD.","1","1","0","0","0","1","0","0","0","3"
"SAMRAT ELECTRIC VEHICLE","38","29","15","7","7","4","1","1","0","102"
"SANALDEEP INDUSTRIES","4","4","4","6","1","3","2","2","2","28"
"SANY HEAVY INDUSTRY INDIA PVT LTD","1","11","0","0","0","0","0","0","0","12"
"SARASWATI TRAILER UDHYOG LLP","0","0","0","0","0","2","0","0","0","2"
"SATHI BATTERY PVT LTD","0","3","2","7","14","8","7","5","1","47"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","236","224","212","185","226","238","276","228","38","1863"
"SATKARTAR AGRO WORKS","4","1","0","0","1","0","0","0","0","6"
"SATNAM ENGG WORKS","4","4","4","3","3","0","1","1","0","20"
"SEC-RJMT ENGINEERING PVT LTD","0","1","0","0","0","0","1","0","0","2"
"SETH INDUSTRIAL CORPORATION","2","8","7","2","8","3","8","1","5","44"
"SETHJI INDUSTRIES","0","0","0","0","0","0","4","2","0","6"
"SHAH ELECTRIC MOTERS","3","0","1","3","3","4","1","4","0","19"
"SHAILENDRA AUTOS PVT LTD","8","9","8","13","6","13","14","17","2","90"
"SHAKTI AUTO GREEN","9","7","11","8","7","9","7","14","0","72"
"SHAKTIMAN AGRO INDUSTRIES","2","7","6","9","13","4","2","6","3","52"
"SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD","4","1","1","7","8","7","3","10","2","43"
