"Vehicle Type and Month Wise Data for All State (2019-2021)"\n\nVehicle Type,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
commercial,189415,188696,204076,171910,170635,156873,178183,163147,160416,178389,193839,164775,191641,204871,258078,38934,7233,41594,57194,65596,94283,95545,103104,110583,125009,123562,140271,94162,30562,70489,106164,108084,119268,121546,123815,131435,4683377
private,2033261,1809840,1987164,1889877,1995335,1857515,1962229,1732146,1571636,2031774,2449437,1813752,1899551,1854487,2602499,447867,248062,1149285,1336080,1394100,1562136,1634595,2111558,2099926,1826023,1671346,1824939,1286207,585317,1395246,1747142,1529310,1419901,1496155,1993195,1709824,59958717
Total,2222676,1998536,2191240,2061787,2165970,2014388,2140412,1895293,1732052,2210163,2643276,1978527,2091192,2059358,2860577,486801,255295,1190879,1393274,1459696,1656419,1730140,2214662,2210509,1951032,1794908,1965210,1380369,615879,1465735,1853306,1637394,1539169,1617701,2117010,1841259,64642094
