"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","9","77","7","2","757","282","801","69","5","2009"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","84","378","288","896","1038","908","793","149","4534"
"MAHINDRA ELECTRIC MOBILITY LIMITED","440","218","102","59","42","0","7","4","0","872"
"MAHINDRA GUJARAT TRACTOR LIMITED","0","0","0","0","0","0","11","0","0","11"
"MAHINDRA LAST MILE MOBILITY LTD","15","20","25","84","104","167","223","161","0","799"
"MALKIT AGRO TECH PVT. LTD","0","0","0","0","4","0","4","4","1","13"
"MANIKANTA ENGINEERING WORKS AP117794381","0","0","0","1","0","0","0","0","0","1"
"MANKU AGRO TECH PVT LTD","2","4","4","0","2","2","0","0","0","14"
"MARUTI SUZUKI INDIA LTD","7273","5312","5099","3359","7309","5925","5120","4803","656","44856"
"MASSEY FERGUSON LTD","83","130","137","106","153","114","117","45","0","885"
"MATTER MOTOR WORKS PVT LTD","0","0","0","9","11","14","8","5","0","47"
"MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS)","0","0","0","0","1","0","0","0","0","1"
"MERCEDES -BENZ AG","1","14","41","15","26","42","107","19","3","268"
"MERCEDES-BENZ INDIA PVT LTD","100","64","38","23","92","88","89","78","5","577"
"MLR AUTO LTD","17","15","16","10","9","15","17","8","0","107"
"MOTOVOLT MOBILITY PVT LTD","40","0","0","0","137","17","11","2","0","207"
"NANJING VMOTO (IMPORTER: VAJRAM ELECTRIC MOBILITY)","0","0","0","0","1","0","0","0","0","1"
"NEW GURDIAL AGRO INDUSTRIES","0","0","1","0","0","1","0","0","0","2"
"NEW GURDIAL AGRO INDUSTRIES PVT LTD","0","0","0","0","0","0","1","0","0","1"
"NEW HOLLAND FIAT INDIA PVT. LTD.","0","0","1","2","0","1","1","1","0","6"
"NEW MALLIKARJUNA ENG WORKS","10","11","20","5","8","10","1","5","0","70"
"NISSAN MOTOR INDIA PVT LTD","0","51","129","83","368","226","173","171","32","1233"
"NUMEROS MOTORS PVT LTD","1","0","0","0","0","0","5","6","0","12"
"OBEN ELECTRIC VEHICLES PVT LTD","0","0","0","19","19","24","33","32","4","131"
"ODYSSE ELECTRIC VEHICLES PVT LTD","198","2","0","0","226","165","257","272","0","1120"
"OKAYA POWER PVT LTD","1","0","0","0","0","0","0","0","0","1"
"OKINAWA AUTOTECH PVT LTD","1","1","0","0","1","0","0","0","0","3"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","267","186","111","128","361","625","374","372","10","2434"
"OLECTRA GREENTECH LTD","35","82","0","0","60","1","0","1","0","179"
"OMEGA CONSTRUCTION EQUIPMENT PVT LTD","0","0","0","0","0","0","0","2","0","2"
"OMEGA SEIKI PVT LTD","5","5","3","0","0","0","0","0","0","13"
"OPG Mobility and Power Pvt Ltd","0","0","0","2","0","2","4","4","0","12"
"OTHERS","1870","2111","11825","1106","954","997","830","523","0","20216"
"PANESAR AGRO TECH","1","0","2","0","0","0","0","0","0","3"
"PATEL ENGINEERING","0","0","0","0","1","0","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","533","606","525","522","514","591","825","558","33","4707"
"PORSCHE AG GERMANY","6","4","8","5","7","8","2","7","2","49"
"PREET AGRO INDUSTRIES PVT LTD","5","3","3","1","1","2","3","2","0","20"
"PUR ENERGY PVT LTD","5","4","2","5","10","7","2","4","2","41"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","0","0","2","3","3","3","2","0","13"
"QUANTUM ENERGY LTD.","46","5","0","154","50","24","13","13","1","306"
"QUCEV TECHNOLOGIES PVT LTD","0","0","0","3","1","1","0","0","0","5"
"RAJA ENG WORK","6","11","8","9","10","7","5","9","0","65"
"RAJU AGRO ENGG.WORKS","1","3","0","0","2","2","0","1","0","9"
"RAVI ENGINEERING WORKS","1","5","4","3","4","6","0","1","0","24"
"REDDY AGRO ENGG WORKS","0","3","0","0","1","1","0","1","0","6"
"REDDY ENGINEERING AND CO","0","0","1","2","3","0","0","0","0","6"
"RENAULT INDIA PVT LTD","1","35","50","29","159","93","76","61","13","517"
