"Maker and Month Wise Data for Punjab (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"DILLI ELECTRIC AUTO PVT LTD","19","28","37","33","47","95","15","65","7","346"
"DIVANSU AUTOMOBILES LTD","3","0","2","0","1","0","0","1","0","7"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","1","1","1","1","1","2","1","8"
"DUCATI INDIA PVT LTD","0","1","1","0","0","1","0","0","0","3"
"DUKE AUTO INDIA","22","0","0","29","22","2","0","0","0","75"
"ECO SMART VEHICLES PVT LTD","8","18","2","34","6","16","7","24","0","115"
"EFEV CHARGING SOLUTION PVT LTD","1","15","4","3","11","6","5","16","0","61"
"EICHER TRACTORS","61","65","71","79","81","54","76","55","21","563"
"ELECTRIC FUTURE INDIA","0","0","0","0","4","0","0","1","0","5"
"ENERGY ELECTRIC VEHICLES","19","11","44","6","11","16","33","25","2","167"
"EPOWER VEHICLES PVT LTD","0","0","0","0","0","2","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","405","382","496","520","426","485","633","540","85","3972"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","3","3","1","10","3","2","6","2","0","30"
"ESCORTS LTD","0","0","0","0","0","0","0","1","0","1"
"EULER MOTORS PVT LTD","9","3","9","9","12","19","5","29","0","95"
"EVBHARAT RANGE PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","1"
"EVCO AUTOMOBILES PVT LTD","1","0","0","0","0","0","0","1","0","2"
"EVEX AUTO INDIA PVT LTD","0","0","0","0","0","0","0","0","1","1"
"EXDINDUS EV ENERGY PVT LTD","0","0","0","0","0","0","4","0","0","4"
"EXIDE INDUSTRIES LTD","0","0","2","16","0","0","0","0","0","18"
"EXTRA FAST SOLUTIONS","1","3","2","4","0","2","4","0","0","16"
"FARMTECH AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","1"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","1","0","0","0","0","1"
"FORCE MOTORS LIMITED","10","29","90","76","85","78","83","50","11","512"
"GAGAN AUTOMOTIVES","15","15","2","11","9","31","6","40","0","129"
"GAHIR AGRICULTURAL INDUSTRIES","0","3","7","1","0","0","2","1","0","14"
"GAUTAM AGRO INDUSTRIES","3","0","0","0","0","0","3","1","0","7"
"GIAN AGRO INDUSTRIES","0","1","1","2","0","0","0","0","0","4"
"GILL AGRICULTURE WORKS","0","1","3","0","1","0","1","1","0","7"
"GILL AGROTECH","0","0","4","0","0","0","3","0","0","7"
"GILLPREETAGRO INDUSTRIES","0","1","0","1","0","0","0","0","0","2"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","1","0","0","0","0","0","1"
"GOBIND AGRO INDUSTRIES","14","1","2","4","6","6","0","3","0","36"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","0","0","1","0","1","0","0","0","2"
"GRD MOTORS","0","6","0","1","1","2","0","0","0","10"
"GREAVES ELECTRIC MOBILITY LTD","32","34","38","59","85","98","138","137","5","626"
"GREEN TECHNOLOGIES","10","4","1","9","1","5","7","5","0","42"
"GROMAX AGRI EQUIPMENT LTD","5","0","6","4","3","0","1","3","3","25"
"GURDEEP ENGINEERING WORKS","2","0","4","0","0","3","1","0","1","11"
"GURM AGRICULTURE WORKS","0","1","0","0","0","0","0","0","0","1"
"GURMUKH AGRO INDUSTRIES","1","3","1","0","0","0","0","0","0","5"
"GURU NANAK AGRI ENGG WORKS","1","4","2","0","1","1","0","0","0","9"
"GURU NANAK AGRI WORKS","0","1","0","0","0","3","1","0","0","5"
"GURU NANAK AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","1"
"H R AGRO INDUSTRIES","4","7","7","0","5","2","3","5","1","34"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"HARDEV AGRO TECH","0","0","0","0","0","0","0","1","0","1"
"HARJEET AGRO INDUSTRIES","3","8","8","3","6","1","7","12","8","56"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","2","3","1","1","1","2","2","1","1","14"
"HARMEET AGRICULTURE WORKS","9","12","12","3","1","3","2","7","1","50"
"HARYANA MOTORS PVT LTD","2","0","0","0","0","1","0","0","0","3"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","1","0","0","1","0","0","2"
"HERO MOTOCORP LTD","13715","11387","13026","11545","12582","12962","14238","13768","2846","106069"
"HIM TEKNOFORGE LTD","0","0","0","1","1","18","0","0","0","20"
"HIND AGRO INDUSTRIES","2","1","3","1","0","0","1","2","1","11"
"HINDUSTAN MOTOR CORPORATION","14","2","6","6","22","12","5","6","2","75"
"HIRA AGRO INDUSTRIES","0","8","5","5","3","2","1","3","5","32"
"HONDA CARS INDIA LTD","282","272","268","292","219","246","251","239","58","2127"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","18763","15975","14528","16800","15650","15484","16281","17962","3371","134814"
"HOTAGE INDIA","4","0","1","14","11","10","9","13","1","63"
"HYUNDAI MOTOR INDIA LTD","3548","2461","2429","2345","2043","2067","2039","2207","462","19601"
"INDERPREET AGRO INDUSTRIES","1","1","1","0","0","0","0","1","0","4"
"INDIA KAWASAKI MOTORS PVT LTD","4","4","3","2","1","1","5","8","1","29"
"INDIA SHINE TECHNOLOGIES","0","0","1","3","1","3","1","28","2","39"
"INDIA YAMAHA MOTOR PVT LTD","236","227","223","243","179","208","208","222","44","1790"
"INDO FARM EQUIPMENT LIMITED","34","56","59","57","35","28","43","40","13","365"
"INS AUTOMOBILES PVT LTD","0","1","4","0","0","0","0","0","0","5"
"INTERGLOBE ENERGY PVT LTD","69","43","37","71","82","82","59","80","23","546"
"INTERNATIONAL TRACTORS LIMITED","675","587","541","632","519","731","837","613","134","5269"
"ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED","0","0","1","0","0","0","0","0","0","1"
"ISHWAR FARMLINE EQUIPMENTS PVT LTD","1","0","0","1","1","0","0","0","0","3"
"ISUZU MOTORS INDIA PVT LTD","21","28","21","26","16","12","12","11","5","152"
"International Cars & Motors Limited","0","0","1","0","0","0","0","0","1","2"
"J K AGRO INDUSTRIES","1","2","0","0","0","0","0","0","0","3"
"JAGUAR LAND ROVER INDIA LIMITED","21","30","19","24","28","25","17","22","3","189"
"JAIN POWER CORP","0","0","4","0","0","0","1","0","0","5"
"JAISIK BUSINESS LINKS PVT LTD","0","0","11","31","14","2","0","0","0","58"
"JAL ENTERPRISES","0","0","0","30","0","7","0","0","0","37"
"JASHANPREET AGRO INDUSTRIES","2","1","3","2","0","0","0","0","1","9"
"JCB INDIA LIMITED","57","88","97","96","88","53","83","101","31","694"
"JEET AGRO INDUSTRIES","0","1","1","3","4","2","0","5","0","16"
"JINDAL ELECTRIC VEHICLES","0","0","0","1","2","6","0","0","0","9"
"JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD","0","0","0","0","1","1","1","0","0","3"
"JMSSP AGRO INDUSTRIES PVT LTD","1","1","3","0","0","1","2","3","4","15"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","556","538","538","438","434","501","508","424","141","4078"
"JS MOBILEON PVT LTD","0","4","2","2","1","4","8","0","0","21"
"JSW MG MOTOR INDIA PVT LTD","217","161","179","227","178","204","224","212","36","1638"
"K. S. INDUSTRIES","0","2","2","5","3","1","7","6","8","34"
"K.S. AGRICULTURAL INDUSTRIES PVT. LTD","2","2","2","0","1","1","2","2","0","12"
"K.S. AGROTECH  PVT LTD","0","0","1","1","0","2","0","0","0","4"
"KALPVRIKSH ELECTOMOBILES CO","2","7","3","5","13","2","11","1","0","44"
"KAPTECH INDIA","0","0","0","15","0","10","12","0","0","37"
"KARMA MECHANICAL WORKS","0","2","0","1","0","0","0","1","1","5"
"KARTAR AGRO INDUSTRIES PVT LTD","49","58","67","47","25","34","10","40","4","334"
"KARTAR TRACTORS PRIVATE LIMITED","17","7","26","6","14","10","12","4","0","96"
"KHALSAE-VEHICLES PVT LTD","13","16","10","30","13","18","23","16","0","139"
"KIA INDIA PRIVATE LIMITED","1695","1379","1348","1220","1126","1162","1077","1085","220","10312"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","1","2","4","1","1","3","4","0","16"
"KISSAN AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","1"
"KLB KOMAKI PVT LTD","0","0","0","0","0","1","0","0","0","1"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","25","5","10","5","3","10","7","2","2","69"
"KUKU AUTOMOTIVES","0","0","0","0","0","0","2","0","0","2"
"KULAR AGRO WORKS","0","0","0","0","1","2","0","3","0","6"
"LAKSHYA MOTORS","0","0","0","0","0","0","1","0","0","1"
"LAL AGRO INDUSTRIES","0","0","1","0","2","0","0","0","0","3"
"LAL CHAND AGRICULTURE WORKS","2","1","0","4","0","0","3","2","0","12"
"LECTRIX E VEHICLES PVT LTD","1","0","1","2","0","0","0","0","1","5"
"LEOPAN MOTORS PRIVATE LIMITED","0","0","1","0","0","1","0","0","0","2"
"LIUGONG INDIA PVT. LTD","0","0","0","0","1","0","1","2","0","4"
"LOHIA AUTO INDUSTRIES","0","0","0","0","0","2","0","0","0","2"
"LORDS VEHICLE MFG PVT LTD","0","0","1","2","0","0","0","0","0","3"
"LOTAY AGRO TECH","0","1","0","0","0","0","1","2","0","4"
"LOTEY AGRICULTURE WORKS","0","0","0","0","0","0","0","1","0","1"
"LOTEY INDUSTRY","3","3","3","3","1","1","4","5","0","23"
"LRD AGRO INDUSTRIES LLP","1","0","0","0","0","0","0","1","0","2"
"M H AGRICULTURE WORKS","0","0","2","0","0","1","0","4","0","7"
"M K BROTHERS","31","14","20","41","12","12","11","13","2","156"
"M S AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","1"
"M.K. ENTERPRISES","1","0","0","3","0","1","0","1","0","6"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","2","1","0","1","1","1","0","6"
"M/S SHRIRAM AUTO TECH PVT LTD","1","0","0","1","1","7","0","0","0","10"
"MAC AUTO INDIA","0","0","0","0","0","0","3","0","0","3"
"MAHINDRA & MAHINDRA LIMITED","5300","4991","5255","5294","4077","3967","3985","4233","801","37903"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","1219","1175","1182","1174","938","1333","1245","1022","119","9407"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","907","1021","993","859","778","1116","858","965","162","7659"
"MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION","1","10","1","5","3","0","3","7","1","31"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","115","97","119","156","160","199","179","187","38","1250"
"MAHINDRA LAST MILE MOBILITY LTD","118","203","126","169","93","155","172","159","18","1213"
"MAHTAB BODY MAKER","6","8","2","10","4","0","0","0","0","30"
"MALKIT AGRO TECH PVT. LTD","9","11","8","11","7","5","6","11","7","75"
"MANITA CITY MOTORS LLP","58","13","38","46","29","48","35","42","1","310"
