"Maker and Month Wise Data for Tripura (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","0","0","0","1","0","1"
"TATA ADVANCED SYSTEMS LTD","0","0","16","0","0","0","0","1","0","17"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","1","0","0","0","0","0","1"
"TATA MOTORS LTD","154","141","87","83","90","55","67","42","3","722"
"TATA MOTORS PASSENGER VEHICLES LTD","77","71","106","89","98","87","75","98","4","705"
"TATA PASSENGER ELECTRIC MOBILITY LTD","4","1","0","1","2","4","1","3","0","16"
"TERRA MOTORS INDIA PVT LTD","0","15","11","5","7","10","9","7","4","68"
"THUKRAL ELECTRIC BIKES PVT LTD","0","0","0","0","0","1","0","0","0","1"
"TI CLEAN MOBILITY PVT LTD","0","0","0","0","0","1","0","0","0","1"
"TIVOLT ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","2","2"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","21","16","19","15","5","10","4","13","3","106"
"TVS MOTOR COMPANY LTD","773","742","810","776","725","799","815","865","55","6360"
"UNIPAVE ENGINEERING PRODUCTS","1","0","0","0","0","0","0","0","0","1"
"VANI ELECTRIC VEHICLES PVT LTD","13","21","11","7","9","25","7","30","3","126"
"VE COMMERCIAL VEHICLES LTD","24","17","8","6","11","24","14","8","4","116"
"WIRTGEN INDIA PVT LTD","0","0","0","0","0","0","2","0","0","2"
"YC ELECTRIC VEHICLE","3","2","3","1","12","2","3","9","0","35"
