"Vehicle Category and Month Wise Data for Chandigarh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),2,0,1,1,1,0,0,2,2,2,1,2,0,2,2,0,0,3,6,1,0,2,1,2,2,1,3,1,0,0,0,1,0,2,5,2,50
HEAVY GOODS VEHICLE,5,10,12,4,16,9,4,2,5,2,5,4,1,3,22,10,3,2,4,5,3,4,6,1,6,1,2,1,11,2,4,8,4,32,4,10,227
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
HEAVY PASSENGER VEHICLE,3,2,6,5,5,5,5,6,2,18,13,46,7,3,7,9,1,7,0,3,7,41,4,8,3,6,6,6,16,2,3,11,4,5,1,1,277
LIGHT GOODS VEHICLE,37,45,44,34,54,37,33,28,43,48,25,54,43,41,67,60,58,49,36,35,44,32,77,57,57,45,56,70,40,33,29,61,65,43,46,83,1709
LIGHT MOTOR VEHICLE,1572,1841,1400,1151,1902,1203,1404,1588,1053,1388,1532,1366,1874,1317,1812,1300,1505,1600,1489,1536,1444,1576,1626,1311,2197,1446,1486,1469,1363,1435,1262,1476,1322,1236,1603,1323,53408
LIGHT PASSENGER VEHICLE,5,6,5,8,13,16,10,8,13,13,9,18,12,7,51,8,17,19,6,3,4,8,12,7,14,21,24,17,19,10,12,25,22,26,19,25,512
MEDIUM GOODS VEHICLE,2,2,13,0,4,5,7,3,3,1,6,5,3,4,4,4,2,5,4,1,3,5,3,5,7,3,2,3,0,3,2,3,6,1,3,6,133
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,2,0,0,1,2,2,1,3,0,1,2,1,0,2,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,23
MEDIUM PASSENGER VEHICLE,0,3,8,9,60,17,15,7,4,5,5,2,3,2,10,18,2,5,3,1,6,1,5,1,0,4,11,11,3,5,2,5,2,3,2,1,241
OTHER THAN MENTIONED ABOVE,0,3,5,2,5,2,3,0,2,1,3,2,0,21,8,1,3,4,7,1,2,1,4,2,2,1,2,2,1,0,5,0,0,0,2,1,98
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),141,263,424,336,351,175,90,81,58,54,36,42,48,44,66,25,47,25,21,33,53,48,67,55,67,62,59,54,46,24,20,38,52,45,31,39,3120
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
TWO WHEELER(NT),2099,2315,1943,1845,2423,2138,2036,2483,2293,1907,3231,2142,1907,2035,2469,2424,2366,2250,2421,2233,1919,2762,3887,1718,2132,2051,1921,2532,2476,2216,2447,2448,2327,2054,2926,2581,83357
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,3866,4490,3861,3395,4834,3607,3607,4211,3478,3439,4867,3685,3900,3480,4522,3859,4006,3972,3998,3852,3487,4480,5693,3168,4487,3642,3572,4168,3975,3730,3786,4079,3804,3447,4643,4072,143162
