"Vehicle Category and Month Wise Data for Rajasthan (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),10,8,16,10,14,13,10,10,8,10,17,15,14,13,24,17,28,33,23,15,25,22,29,30,16,22,26,21,27,9,25,16,9,27,27,16,655
HEAVY GOODS VEHICLE,2352,2225,2695,2736,2088,1823,1780,1665,2219,2848,3084,2582,3408,3279,4062,3485,2957,2359,2044,2444,2895,3434,3173,2536,3181,2734,2935,3077,2701,2030,2592,2063,2295,3328,2959,2354,96422
HEAVY MOTOR VEHICLE,27,24,25,22,19,18,21,31,39,17,29,20,21,16,21,6,22,27,10,10,15,14,15,10,10,14,28,8,8,15,14,16,12,12,14,18,648
HEAVY PASSENGER VEHICLE,5,19,46,16,16,21,31,45,31,21,29,20,24,40,55,48,48,109,165,145,72,38,36,34,58,93,99,103,155,129,111,120,281,271,109,42,2685
LIGHT GOODS VEHICLE,2596,2836,3111,2919,3480,2927,2840,2519,2796,3748,4135,3485,4238,3689,3466,2672,3523,3523,3055,3276,3314,4066,4236,3205,3918,4232,3529,2744,2835,2302,2602,2137,2504,4367,3912,2537,117274
LIGHT MOTOR VEHICLE,20833,21403,22503,21938,26441,22582,21496,20344,18853,29673,26488,21536,26607,22654,28637,22304,26286,26544,24896,23568,23739,27854,31853,22926,32555,26671,27485,22747,25784,24659,27479,21244,21201,43475,28841,24521,908620
LIGHT PASSENGER VEHICLE,543,437,614,594,650,597,771,752,672,764,659,522,804,673,1010,756,1033,982,1249,1458,1278,1514,1020,756,1182,1157,1203,1095,1241,1151,1649,1335,1124,1790,847,853,34735
MEDIUM GOODS VEHICLE,98,82,119,116,87,89,51,44,60,88,145,103,121,59,63,37,68,30,51,69,66,71,99,56,94,88,78,74,67,63,57,54,50,59,61,28,2645
MEDIUM MOTOR VEHICLE,28,32,76,43,75,56,60,33,37,30,55,33,32,67,86,33,70,56,50,31,39,38,26,68,60,72,46,29,42,31,54,45,29,43,38,31,1674
MEDIUM PASSENGER VEHICLE,12,22,56,38,51,74,113,143,87,52,47,31,45,35,81,91,77,83,144,184,89,106,54,70,68,62,104,105,142,68,208,170,119,120,72,69,3092
OTHER THAN MENTIONED ABOVE,292,429,557,484,583,610,355,262,454,676,583,456,550,610,789,547,581,592,516,589,718,752,676,470,559,568,661,514,630,508,506,453,459,929,536,550,20004
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
THREE WHEELER(NT),0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,7
THREE WHEELER(T),1797,2158,2369,2198,2592,2877,3030,3189,3418,3843,4570,3376,2928,3428,3721,2678,3763,4050,4707,4711,4730,4932,5245,4615,4287,4077,4326,2801,3974,3568,4688,4044,4185,5245,4271,3138,133529
TWO WHEELER (Invalid Carriage),28,247,466,455,332,96,69,61,14,14,14,163,132,723,1515,148,869,480,155,491,2152,2629,381,604,227,345,237,83,7,80,55,10,51,18,5,24,13380
TWO WHEELER(NT),50128,56152,60048,69980,73762,58251,63706,60113,53828,133320,158182,56969,62886,62099,85193,67961,79414,69180,76392,76053,80944,103500,191620,99336,78642,81068,89456,83595,87655,78460,88198,93273,62715,134637,246655,55588,3128959
TWO WHEELER(T),26,35,67,69,54,54,62,87,129,269,262,140,109,108,146,46,82,57,111,118,108,151,98,148,172,74,109,80,115,69,160,112,153,182,99,103,3964
Total,78775,86109,92768,101618,110244,90088,94395,89298,82647,175373,198299,89451,101919,97494,128869,100829,118821,108105,113568,113162,120184,149121,238561,134864,125029,121277,130323,117076,125383,113142,128400,125092,95188,194503,288447,89872,4468294
