"Vehicle Category and Month Wise Data for Kerala (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),15,9,6,16,11,9,9,11,11,8,9,7,9,10,8,11,32,10,7,8,18,10,10,10,15,5,9,14,11,12,15,6,11,10,7,5,384
HEAVY GOODS VEHICLE,319,334,372,346,313,225,227,241,208,208,258,176,134,179,298,162,234,234,198,231,180,237,307,280,385,363,488,420,405,285,252,190,312,368,340,282,9991
HEAVY MOTOR VEHICLE,68,79,74,62,43,41,53,81,80,84,61,29,27,20,34,22,14,17,20,16,12,19,22,20,25,18,27,24,29,20,30,16,27,32,37,27,1310
HEAVY PASSENGER VEHICLE,207,171,178,218,192,194,189,221,184,107,98,169,21,35,305,51,72,143,33,40,145,21,16,31,26,23,85,49,44,32,37,68,67,95,83,46,3696
LIGHT GOODS VEHICLE,1126,1156,1249,1086,950,1052,1115,1326,1242,1344,1104,738,957,981,1213,1149,1070,1085,1052,1567,1309,1485,1590,1339,1666,1409,1832,1722,1674,1536,1777,1448,1848,1964,1846,1592,48599
LIGHT MOTOR VEHICLE,21968,15554,16779,15821,15965,16857,17777,22038,25888,23291,18076,13657,25249,15544,17949,18678,20171,21192,18481,22082,28098,23523,19461,15305,27843,15207,18505,20045,20254,19108,20988,17256,27156,21054,17385,14861,709066
LIGHT PASSENGER VEHICLE,1217,1095,1358,1157,1292,1526,1096,1398,1195,1268,1255,882,1232,985,1147,936,1214,1249,865,1189,1140,1174,1279,885,1382,937,1234,1284,1448,1637,1573,989,1365,1370,1304,1064,43621
MEDIUM GOODS VEHICLE,166,214,184,191,188,112,175,224,181,223,202,89,69,102,144,116,97,121,99,143,142,162,154,130,148,196,202,198,187,168,181,158,152,251,319,252,6040
MEDIUM MOTOR VEHICLE,26,24,32,22,17,21,14,18,22,14,8,18,12,12,17,11,38,44,52,77,44,51,64,68,61,50,67,66,71,62,68,59,87,123,109,103,1652
MEDIUM PASSENGER VEHICLE,42,42,35,44,146,181,69,71,52,41,43,38,31,24,44,49,187,241,55,55,91,23,31,29,23,23,24,41,97,190,80,41,63,45,52,46,2389
OTHER THAN MENTIONED ABOVE,16,9,13,14,7,10,12,8,12,15,13,8,5,2,8,6,2,3,6,4,5,7,7,9,8,20,6,3,5,5,0,5,2,3,12,8,278
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THREE WHEELER(NT),123,123,123,103,88,91,132,122,113,104,105,73,83,69,107,91,86,83,64,117,80,91,84,77,92,70,77,57,74,79,81,67,69,84,75,69,3226
THREE WHEELER(T),2354,2222,2425,2214,2098,2382,2458,2556,2460,2616,2256,1472,2066,2022,2716,2193,2027,2242,2207,2743,2460,2761,2730,2235,2699,2337,2610,2240,2446,2504,2770,2282,3015,3081,2898,2425,87222
TWO WHEELER (Invalid Carriage),58,143,263,102,70,117,151,111,105,72,67,63,27,102,214,394,285,150,106,56,50,173,97,223,205,137,207,564,478,313,212,68,57,79,40,100,5659
TWO WHEELER(NT),53618,51908,52980,46391,50053,53656,51541,54523,67883,77758,57397,39274,51380,52767,63656,50130,59148,56861,52732,59942,76517,77769,59282,49451,67670,58696,62594,59430,66890,61222,58374,49532,83588,66836,54654,45831,2101934
TWO WHEELER(T),4,2,6,3,2,5,6,6,6,8,8,7,3,3,8,10,10,2,10,15,12,9,15,10,13,8,10,9,10,6,10,9,8,6,11,18,288
Total,81327,73085,76077,67790,71435,76479,75024,82955,99642,107161,80960,56700,81305,72857,87868,74009,84687,83677,75987,88285,110303,107515,85149,70102,102261,79499,87977,86167,94123,87179,86448,72194,117827,95401,79172,66729,3025356
