"Vehicle Category and Month Wise Data for Tamil Nadu (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),12,10,10,16,16,15,20,15,18,10,15,10,14,17,21,0,1,9,2,14,10,7,11,18,17,18,18,20,5,7,22,27,21,12,20,18,496
HEAVY GOODS VEHICLE,1785,1778,2256,1974,1660,1296,1575,1303,1002,792,776,793,1102,1290,1695,11,2,19,189,339,609,583,608,607,751,906,1172,1138,215,372,667,654,871,722,696,774,32982
HEAVY MOTOR VEHICLE,45,42,61,39,37,37,35,40,33,41,40,27,45,44,67,0,1,6,14,24,33,20,18,15,33,14,40,27,3,8,10,16,21,20,12,17,985
HEAVY PASSENGER VEHICLE,469,330,656,655,714,627,467,336,390,301,230,194,435,573,1734,5,0,0,0,1,32,22,15,11,33,18,65,42,15,2,14,36,62,36,17,12,8549
LIGHT GOODS VEHICLE,4595,4542,4817,4268,3774,3329,4187,3422,3426,3192,3363,3184,4579,4854,5245,3,22,1120,1681,2838,3539,3409,3218,3133,3257,3768,4333,3958,736,1428,3905,3519,3745,3176,2790,3031,117386
LIGHT MOTOR VEHICLE,24414,16764,18777,18274,17476,15756,17095,15370,14734,16470,17186,16074,23597,16248,19248,5,2578,11291,11699,13137,18772,18610,18570,19677,22456,22796,26443,20907,3780,8544,23766,23262,21199,16705,17129,18389,607198
LIGHT PASSENGER VEHICLE,1826,1349,1664,1564,1686,1696,1862,1400,1210,1114,1256,1343,1795,1585,1489,4,7,86,162,281,655,478,323,380,387,420,437,439,127,188,530,441,430,235,460,389,29698
MEDIUM GOODS VEHICLE,555,581,649,608,541,471,635,462,391,353,346,367,513,509,736,1,0,11,49,148,312,312,320,400,490,617,790,701,118,168,448,454,612,625,428,513,15234
MEDIUM MOTOR VEHICLE,165,226,237,216,181,190,200,167,140,142,125,143,218,191,246,4,40,141,165,205,225,201,155,200,213,249,306,217,39,34,150,124,185,99,115,128,5982
MEDIUM PASSENGER VEHICLE,104,83,79,96,336,454,339,130,81,78,111,89,85,77,344,0,0,1,7,19,63,33,51,36,28,35,48,30,8,26,68,53,88,30,65,67,3242
OTHER THAN MENTIONED ABOVE,311,341,400,330,240,188,255,230,246,210,251,203,332,427,456,1,81,315,359,367,456,423,315,342,432,562,728,472,64,153,332,282,300,283,231,210,11128
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),18,28,25,27,24,22,25,21,27,30,24,25,26,27,43,0,1,1,4,10,28,19,8,16,9,22,27,19,3,2,14,17,17,10,17,23,659
THREE WHEELER(T),3662,4050,4227,3382,3336,3021,3899,3353,3494,3357,3838,2847,3783,4321,4820,0,24,362,514,599,1604,926,853,920,1015,2798,3325,1232,262,361,892,1029,1034,811,942,1193,76086
TWO WHEELER (Invalid Carriage),317,976,648,161,67,133,222,187,197,78,111,34,69,574,1247,0,1,12,20,15,72,38,72,531,412,454,130,51,14,26,19,63,98,521,550,313,8433
TWO WHEELER(NT),151429,160832,158321,131294,131024,124389,149051,134962,120112,116074,144678,94236,137349,148160,140706,4,30084,97354,95897,110759,143986,111953,123115,97411,125455,150672,139986,107649,17835,45197,122791,109431,108467,85665,111199,83472,4060999
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,189707,191932,192827,162904,161112,151624,179867,161398,145501,142242,172350,119569,173942,178897,178097,38,32842,110728,110762,128756,170396,137034,147652,123697,154988,183349,177848,136902,23224,56516,153628,139408,137150,108950,134671,108549,4979057
