"Vehicle Category and Month Wise Data for Madhya Pradesh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY GOODS VEHICLE,787,911,964,965,831,712,471,396,589,900,795,647,652,871,1521,1278,517,357,522,502,758,967,966,1042,1400,1046,1164,1080,977,824,655,631,825,1108,938,873,30442
HEAVY MOTOR VEHICLE,77,64,77,51,40,43,30,13,36,42,75,57,40,62,120,73,28,48,41,18,41,28,59,42,49,47,58,39,43,50,29,30,27,43,20,39,1679
HEAVY PASSENGER VEHICLE,106,83,91,155,79,66,46,67,65,112,67,75,56,73,187,118,60,78,27,26,56,41,36,38,45,53,63,88,55,40,37,65,98,131,67,77,2627
LIGHT GOODS VEHICLE,1387,1312,1437,1355,1199,1166,1069,928,1210,1295,1488,1555,1206,1201,2068,1748,1373,971,1233,1104,1273,1641,2283,1741,1756,1954,1942,1907,1955,1630,1681,1832,1642,2413,2439,2860,57254
LIGHT MOTOR VEHICLE,13260,12108,12657,10468,12867,12413,11732,10488,11456,10768,15510,18501,12167,13486,18200,11041,14858,13972,20183,14760,13153,13575,20322,19557,17549,16048,16183,14324,18271,16275,16730,14821,12656,15481,15913,23962,535715
LIGHT PASSENGER VEHICLE,1150,1128,1147,1284,1153,1202,1415,1361,1437,1181,1239,1236,1005,1103,1677,1469,1257,1082,1333,1413,1197,1191,1370,1015,1195,1137,1182,1247,1379,1321,1550,1553,1134,1145,1234,1410,45532
MEDIUM GOODS VEHICLE,75,61,69,62,62,59,40,47,43,46,47,45,50,47,70,77,23,33,34,39,79,78,82,59,86,89,89,88,62,78,55,64,74,80,66,69,2227
MEDIUM MOTOR VEHICLE,124,120,171,115,136,139,119,114,118,143,143,184,97,118,257,140,112,121,177,123,101,117,156,150,171,169,206,219,215,179,146,121,150,190,166,186,5413
MEDIUM PASSENGER VEHICLE,79,62,128,125,118,122,131,153,113,110,81,103,100,123,181,200,64,111,92,91,127,64,67,43,73,93,129,111,75,165,165,186,153,109,92,64,4003
OTHER THAN MENTIONED ABOVE,71,81,101,401,80,62,87,70,74,57,71,90,43,59,88,69,60,87,93,99,87,108,138,73,95,131,92,99,94,100,150,141,140,147,119,139,3696
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,19
THREE WHEELER(T),1520,1273,1259,1184,1327,1213,1271,1313,1456,1385,1479,1525,1094,1180,2042,1714,1385,1292,1584,1527,1568,1856,2265,2177,1882,1819,1575,1528,1746,1794,1981,2179,1793,2484,2174,2928,59772
TWO WHEELER (Invalid Carriage),7,27,9,9,10,8,6,14,14,12,5,17,7,13,9,5,6,1,9,8,7,13,15,13,36,13,21,7,8,10,10,12,17,12,6,5,401
TWO WHEELER(NT),77727,68563,75017,73332,83099,69299,64476,56926,57861,63580,88449,104043,62492,57844,99418,88688,94365,87578,77992,75842,71473,84535,129147,113832,91391,90019,85285,78441,127424,97993,96284,83920,83057,91504,106152,146622,3103670
TWO WHEELER(T),0,1,3,1,3,0,0,0,3,0,0,3,0,0,2,2,0,0,1,0,1,0,2,5,2,1,3,0,2,0,0,3,0,2,1,1,42
Total,96370,85794,93131,89515,101004,86504,80893,71890,74475,79631,109450,128081,79009,76180,125840,106622,114108,105731,103322,95552,89923,104214,156908,139788,115732,112619,107992,99178,152307,120462,119473,105558,101766,114849,129387,179235,3852493
